"PA_ID","PA","Cluster","Current_Runoff_Retention_m3","SSP245_2050_With_Intervention_m3","SSP245_2050_Without_Intervention_m3","SSP245_2090_With_Intervention_m3","SSP245_2090_Without_Intervention_m3","SSP585_2050_With_Intervention_m3","SSP585_2050_Without_Intervention_m3","SSP585_2090_With_Intervention_m3","SSP585_2090_Without_Intervention_m3","Mean_With_Intervention_m3","Mean_Without_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
1,"Okanguati","Cluster E — Kunene (North)",316841989.273487,325580205.926728,321845144.580952,307902330.848228,304370309.597667,313688979.799822,310090586.588348,303753547.927097,300269713.902976,312731266.125468,309143938.667486,3587327.45798284,1.16040685560436
2,"Iipumbu ya Tshilongo","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",559718667.56422,575821414.885185,568339432.244409,556277963.90054,549050650.701352,552195593.048646,545018905.703643,539319802.882526,532311333.602952,555903693.679224,548680080.563089,7223613.11613536,1.31654371500457
3,"Otjitanda","Cluster E — Kunene (North)",318197937.831673,333463945.092964,329654477.699771,310197358.536796,306655637.226176,326507321.61359,322777144.745891,308445036.525785,304923530.177603,319653415.442284,316002697.46236,3650717.97992367,1.15528063818459
4,"Orupupa","Cluster A — South, Kunene South & Erongo",341468942.920812,349578887.995458,345386254.446708,332268447.977347,328286099.280411,335394475.634697,331371194.066932,318811433.694412,314991360.99416,334013311.325479,330008727.197053,4004584.12842596,1.21347825023875
5,"Omuramba ua Mbinda","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",1082787714.53808,1058502269.6143,1046256259.10262,1029971624.03054,1018055742.82923,1030185367.76684,1018266999.01731,977518335.532383,966209305.860707,1024044399.23601,1012197076.70247,11847322.5335455,1.17045611039914
6,"Otjombinde","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",1890584851.88013,1838162261.32299,1816869682.86101,1787762981.46638,1767056465.90746,1798446198.42518,1777613742.58305,1695512275.43565,1675874223.9225,1779970929.16255,1759353528.8185,20617400.3440487,1.17187364599168
7,"Bamunu","Cluster C — Kavango East, Kavango West & Zambezi",290439394.719586,277935675.747929,274360010.142526,280126002.364826,276520099.629097,283438855.029973,279784195.450987,271321077.298228,267821858.222341,278205402.610239,274621540.861238,3583861.74900132,1.30501844020029
8,"Mashi","Cluster C — Kavango East, Kavango West & Zambezi",223068639.298567,211510601.859279,209371093.348825,212644089.074249,210503636.103363,215120467.352624,212940679.988544,205713468.346345,203638660.947402,211247156.658124,209113517.597034,2133639.06109038,1.02032574728237
9,"Ovitoto","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",207028982.497021,210177412.385424,207329033.292339,200772152.995412,198051188.168121,199588900.790166,196883974.486723,184917969.230295,182411727.158272,198864108.850324,196168980.776364,2695128.07396054,1.37388085684813
10,"Salambala","Cluster C — Kavango East, Kavango West & Zambezi",513941951.204575,491864482.921467,485751444.301641,496371584.022528,490222041.772535,503774289.575364,497493066.330339,482161358.533523,476169253.122313,493542928.76322,487408951.381707,6133977.38151336,1.25848681361406
11,"Doro !nawas Area2","Cluster E — Kunene (North)",185326077.614879,187422119.216809,185289864.608846,175414713.274523,173418840.997916,180895376.287757,178838140.647943,160907804.499211,159076365.288948,176160003.319575,174155802.885913,2004200.43366185,1.1508088736927
12,"Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Cluster E — Kunene (North)",21075432.7678512,21474373.8482964,21253433.8742876,19985094.1657577,19779560.7242516,20928122.4434529,20712808.5241083,18233881.1459972,18046346.7961184,20155367.9008761,19948037.4796915,207330.421184584,1.03935247462645
13,"Kwandu","Cluster C — Kavango East, Kavango West & Zambezi",103734819.324309,97899569.3810214,96826466.5549791,98431077.5334187,97369508.0767956,99860973.2288527,98752559.1779425,95494350.9374181,94442810.9394832,97921492.7701777,96847836.1873001,1073656.58287764,1.10860151877965
14,"Orupembe","Cluster E — Kunene (North)",683493939.410189,751757186.237584,744137273.013723,693696434.501789,686663510.637593,737012693.460083,729544660.98624,684154321.022728,677214964.838792,716655158.805546,709390102.369087,7265056.43645871,1.02412712162127
15,"Mayuni","Cluster C — Kavango East, Kavango West & Zambezi",80906038.3723471,76399142.1802591,75642836.2038364,76806394.9458761,76061349.2028983,77747865.9053338,76976732.8448568,74348390.6915068,73620096.8685988,76325448.4307439,75575253.7800476,750194.650696367,0.992645890253595
16,"Uibasen Twyfelfontein","Cluster E — Kunene (North)",37825169.6357437,38498227.7859276,38119116.0470919,35821878.106087,35469685.5103865,37380185.2088046,37012092.9063824,32735519.2151549,32413695.0855924,36108952.5789935,35753647.3873633,355305.191630244,0.993759287774995
17,"Oskop","Cluster F —    //Karas,Hardap",16852577.6101788,16310153.9598937,16104563.525067,15790115.0143072,15591079.5292046,15823947.9335146,15624486.1464089,14275123.7758064,14095185.1308655,15549835.1708805,15353828.5828865,196006.587993963,1.27659747492839
18,"//Huab","Cluster E — Kunene (North)",320659492.160143,319110613.601903,314904325.472719,300107250.480021,296150643.430641,307246231.899047,303197044.006702,276992388.200763,273339549.796375,300864121.045433,296897890.676609,3966230.36882389,1.33589038298154
19,"Omatendeka","Cluster A — South, Kunene South & Erongo",437879405.569632,445553737.057461,440216809.833406,419227737.104366,414211578.117127,429203368.502295,424062410.600455,397694003.288335,392934591.254212,422919711.488114,417856347.4513,5063364.03681445,1.21174754618382
20,"//Gamaseb","Cluster F —    //Karas,Hardap",188101297.367493,171070648.83042,169375269.132838,162911160.300019,161297487.171271,162137671.316839,160530142.907238,140972909.516636,139575472.126421,159273097.490979,157694592.834442,1578504.65653646,1.00098844745658
21,"Ehi-Rovipuka","Cluster A — South, Kunene South & Erongo",523355584.565351,534154790.633797,527663145.498117,508260685.337391,502097064.775625,514064656.164753,507816232.346406,483647951.215705,477784035.97457,510032020.837911,503840119.64868,6191901.18923175,1.22894167172501
22,"/Audi","Cluster E — Kunene (North)",80219176.6424618,80316592.1257509,79232007.134926,76164121.9469659,75135624.6943201,76733145.7935686,75696922.3600513,70607189.6797246,69653684.802071,75955262.3865025,74929559.7478421,1025702.63866042,1.36888918353742
23,"Uukolonkadhi Ruacana","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",949112180.742865,977060983.799332,966385851.722739,939885134.600532,929657400.352358,938130653.894469,927878609.516549,919781279.45953,909771730.382815,943714512.938466,933423397.993615,10291114.9448503,1.10251306823581
