"species","feeding_regime","forage_profile","body_mass_kg","DMI_fraction","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","total_area_ha","valid_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,120945043.881016,33470.3317783356,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",33470.3317783356,0,0,33470,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,159025969.730086,348550.070641285,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",348550.070641285,0,0,348550,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,219503193.615769,534558.766796393,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",534558.766796393,0,0,534559,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,149132873.974182,151327.117173194,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",151327.117173194,0,0,151327,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,94598867.3956853,26179.2908248749,"Forage-limited potential livestock carrying capacity",783233.539348635,780291.999554455,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",26179.2908248749,0,0,26179,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,126018567.70644,276205.079904526,"Forage-limited potential livestock carrying capacity",783233.539348635,780291.999554455,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",276205.079904526,0,0,276205,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,167549818.570917,408036.087843938,"Forage-limited potential livestock carrying capacity",783233.539348635,780291.999554455,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",408036.087843938,0,0,408036,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,97454939.7939141,98888.8277969702,"Forage-limited potential livestock carrying capacity",783233.539348635,780291.999554455,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",98888.8277969702,0,0,98889,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,548186902.890775,151705.245023046,"Forage-limited potential livestock carrying capacity",5946321.81049356,5936076.19393176,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",151705.245023046,0,0,151705,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,828129152.975346,1815077.5955624,"Forage-limited potential livestock carrying capacity",5946321.81049356,5936076.19393176,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",1815077.5955624,0,0,1815078,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,1372823189.98588,3343252.82188341,"Forage-limited potential livestock carrying capacity",5946321.81049356,5936076.19393176,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",3343252.82188341,0,0,3343253,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,613076164.426589,622096.564613485,"Forage-limited potential livestock carrying capacity",5946321.81049356,5936076.19393176,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",622096.564613485,0,0,622097,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,316552324.597797,87602.6911852213,"Forage-limited potential livestock carrying capacity",5126424.88987576,5125828.17119602,596.71867974475,0.0116400550590962,"Cluster","Cluster_4","Cluster E — Kunene (North)","Current","Current","Current",87602.6911852213,0,0,87603,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,444094292.286107,973357.352955851,"Forage-limited potential livestock carrying capacity",5126424.88987576,5125828.17119602,596.71867974475,0.0116400550590962,"Cluster","Cluster_4","Cluster E — Kunene (North)","Current","Current","Current",973357.352955851,0,0,973357,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,672545977.027419,1637859.30478519,"Forage-limited potential livestock carrying capacity",5126424.88987576,5125828.17119602,596.71867974475,0.0116400550590962,"Cluster","Cluster_4","Cluster E — Kunene (North)","Current","Current","Current",1637859.30478519,0,0,1637859,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,369343586.731236,374777.86578512,"Forage-limited potential livestock carrying capacity",5126424.88987576,5125828.17119602,596.71867974475,0.0116400550590962,"Cluster","Cluster_4","Cluster E — Kunene (North)","Current","Current","Current",374777.86578512,0,0,374778,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,234494487.54357,64894.0051317476,"Forage-limited potential livestock carrying capacity",1422473.1935077,1421564.53049095,908.663016745588,0.0638790959923049,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Current","Current","Current",64894.0051317476,0,0,64894,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,274078345.23195,600719.660782357,"Forage-limited potential livestock carrying capacity",1422473.1935077,1421564.53049095,908.663016745588,0.0638790959923049,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Current","Current","Current",600719.660782357,0,0,600720,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,307252937.617386,748256.773497439,"Forage-limited potential livestock carrying capacity",1422473.1935077,1421564.53049095,908.663016745588,0.0638790959923049,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Current","Current","Current",748256.773497439,0,0,748257,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,229906768.798064,233289.466055874,"Forage-limited potential livestock carrying capacity",1422473.1935077,1421564.53049095,908.663016745588,0.0638790959923049,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Current","Current","Current",233289.466055874,0,0,233289,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,104232227.300452,28845.2268715794,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Current","Current","Current",28845.2268715794,0,0,28845,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,107611194.462526,235860.152246633,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Current","Current","Current",235860.152246633,0,0,235860,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,87097616.3215866,212109.872320454,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Current","Current","Current",212109.872320454,0,0,212110,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,102087925.894053,103589.98061294,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Current","Current","Current",103589.98061294,0,0,103590,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,106053183.646948,29349.1583359479,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",33470.3317783356,-4121.17344238764,-12.3129148216426,29349,-4121
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,145079413.515959,317982.276199362,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",348550.070641285,-30567.7944419225,-8.76998658634093,317982,-30568
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,212005140.556722,516298.668022459,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",534558.766796393,-18260.0987739346,-3.41591980304939,516299,-18260
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,135860887.424238,137859.855326472,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",151327.117173194,-13467.2618467216,-8.89943725770467,137860,-13467
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,84927786.6116838,23502.9159019465,"Forage-limited potential livestock carrying capacity",783233.539348635,783112.023568523,121.515780112008,0.0155146292909091,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",26179.2908248749,-2676.37492292832,-10.2232521913286,23503,-2676
