"unit_id","unit","species","feeding_regime","forage_profile","carrying_capacity_animals_Current","carrying_capacity_animals_SSP245_2050_Without_Intervention","carrying_capacity_animals_SSP245_2050_With_Intervention","carrying_capacity_animals_SSP245_2090_Without_Intervention","carrying_capacity_animals_SSP245_2090_With_Intervention","carrying_capacity_animals_SSP585_2050_Without_Intervention","carrying_capacity_animals_SSP585_2050_With_Intervention","carrying_capacity_animals_SSP585_2090_Without_Intervention","carrying_capacity_animals_SSP585_2090_With_Intervention","capacity_change_from_current_animals_Current","capacity_change_from_current_animals_SSP245_2050_Without_Intervention","capacity_change_from_current_animals_SSP245_2050_With_Intervention","capacity_change_from_current_animals_SSP245_2090_Without_Intervention","capacity_change_from_current_animals_SSP245_2090_With_Intervention","capacity_change_from_current_animals_SSP585_2050_Without_Intervention","capacity_change_from_current_animals_SSP585_2050_With_Intervention","capacity_change_from_current_animals_SSP585_2090_Without_Intervention","capacity_change_from_current_animals_SSP585_2090_With_Intervention","capacity_change_from_current_pct_Current","capacity_change_from_current_pct_SSP245_2050_Without_Intervention","capacity_change_from_current_pct_SSP245_2050_With_Intervention","capacity_change_from_current_pct_SSP245_2090_Without_Intervention","capacity_change_from_current_pct_SSP245_2090_With_Intervention","capacity_change_from_current_pct_SSP585_2050_Without_Intervention","capacity_change_from_current_pct_SSP585_2050_With_Intervention","capacity_change_from_current_pct_SSP585_2090_Without_Intervention","capacity_change_from_current_pct_SSP585_2090_With_Intervention"
"Cluster_1","Cluster A — South, Kunene South & Erongo","Cattle","Grazer","Cattle_Grazer",33470,29349,91954,27462,87344,28425,89399,25583,80951,0,-4121,58484,-6008,53874,-5045,55929,-7888,47481,0,-12.3129148216426,174.734035986761,-17.9508088602415,160.959443625448,-15.0727338831831,167.100219282056,-23.5657912567735,141.858915780948
"Cluster_1","Cluster A — South, Kunene South & Erongo","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",348550,317982,757500,300010,720262,307985,736236,279629,667913,0,-30568,408950,-48540,371712,-40565,387686,-68921,319363,0,-8.76998658634093,117.328972554903,-13.9262514305087,106.645259441419,-11.6381862631488,111.228160069032,-19.7737677915995,91.6262508407107
"Cluster_1","Cluster A — South, Kunene South & Erongo","Goats","Browser-Mixed","Goat_Browser_Mixed",534559,516299,697773,492631,665633,500077,677538,459516,618352,0,-18260,163215,-41927,131074,-34482,142980,-75043,83793,0,-3.41591980304939,30.5326015626586,-7.84337909541375,24.5200307408967,-6.45050068184259,26.7472418099986,-14.0383213259666,15.6751264526564
"Cluster_1","Cluster A — South, Kunene South & Erongo","Donkeys","Grazer","Donkey_Grazer",151327,137860,332894,129889,316427,133713,323683,120773,293222,0,-13467,181567,-21438,165100,-17615,172356,-30554,141895,0,-8.89943725770467,119.983119773509,-14.1664633361015,109.101084834518,-11.6400929752415,113.896020726587,-20.1905901753563,93.7672553180534
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Cattle","Grazer","Cattle_Grazer",26179,23503,28427,22887,28107,23434,27805,21677,25981,0,-2676,2247,-3293,1928,-2745,1626,-4503,-198,0,-10.2232521913286,8.5840899381946,-12.5773249301982,7.3648274069264,-10.4866481150621,6.21147625183247,-17.19907466089,-0.755823096592577
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",276205,256299,282721,251654,280239,255311,276405,238303,259215,0,-19906,6515,-24551,4034,-20894,200,-37902,-16990,0,-7.20682012015235,2.35891806117067,-8.888534738062,1.46049264745335,-7.56460036866795,0.0724311423036276,-13.7223691667345,-6.15130431616029
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Goats","Browser-Mixed","Goat_Browser_Mixed",408036,393152,381677,389210,378060,390749,376183,368374,354260,0,-14884,-26359,-18826,-29976,-17287,-31853,-39663,-53777,0,-3.64776097959329,-6.46007773278592,-4.61385133313004,-7.34635985963375,-4.23659222105946,-7.80635926762234,-9.72035648604409,-13.179362774565
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Donkeys","Grazer","Donkey_Grazer",98889,90597,104722,88676,103804,90286,102143,83978,95682,0,-8292,5834,-10213,4915,-8602,3254,-14911,-3207,0,-8.38538663581678,5.89908621425936,-10.3277886586269,4.96996880483762,-8.69908070911795,3.29090214950397,-15.0785791764723,-3.24274346718672
"Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Cattle","Grazer","Cattle_Grazer",151705,139640,446280,134100,431733,135167,431985,125955,405518,0,-12065,294575,-17605,280028,-16539,280280,-25750,253813,0,-7.95304851156423,194.175715727378,-11.6050366113764,184.586969855033,-10.9017632792113,184.753011370379,-16.9737143601529,167.306590593265
"Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",1815078,1706000,3523421,1644814,3408855,1651350,3410561,1544937,3201875,0,-109078,1708344,-170263,1593778,-163728,1595483,-270141,1386797,0,-6.00954240641237,94.1195948863464,-9.38050728794511,87.8076791774799,-9.02044431182969,87.9016530544883,-14.88314566915,76.4043076978104
