"spatial_unit","unit_id","unit","climate_scenario","management_scenario","feeding_regime","livestock_species","mean_species_capacity_animals","median_species_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Browser-Mixed",1,534559,534559,0,0
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Grazer",2,92399,92399,0,0
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Grazer-Mixed",1,348550,348550,0,0
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","With_Intervention","Browser-Mixed",1,697773,697773,30.5326015626586,30.5326015626586
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","With_Intervention","Grazer",2,212424,212424,147.358577880135,147.358577880135
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","With_Intervention","Grazer-Mixed",1,757500,757500,117.328972554903,117.328972554903
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","Without_Intervention","Browser-Mixed",1,516299,516299,-3.41591980304939,-3.41591980304939
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","Without_Intervention","Grazer",2,83605,83605,-10.6061760396736,-10.6061760396736
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","Without_Intervention","Grazer-Mixed",1,317982,317982,-8.76998658634093,-8.76998658634093
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2090","With_Intervention","Browser-Mixed",1,665633,665633,24.5200307408967,24.5200307408967
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2090","With_Intervention","Grazer",2,201885,201885,135.030264229983,135.030264229983
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2090","With_Intervention","Grazer-Mixed",1,720262,720262,106.645259441419,106.645259441419
