"spatial_unit","unit_id","unit","species","feeding_regime","forage_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Cattle","Grazer","Cattle_Grazer","SSP245_2050",29349.1583359479,91954.3933527806,62605.2350168327,213.311858214862,29349,91954,62605
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",317982.276199362,757500.287364091,439518.011164729,138.220914831482,317982,757500,439518
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",516298.668022459,697773.465180598,181474.797158139,35.1491894901121,516299,697773,181475
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",137859.855326472,332894.113420905,195034.258094433,141.472844021607,137860,332894,195034
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Cattle","Grazer","Cattle_Grazer","SSP245_2050",23502.9159019465,28426.5446944636,4923.6287925171,20.9490125100151,23503,28427,4924
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",256299.476633084,282720.531420265,26421.054787181,10.3086651343441,256299,282721,26421
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",393151.906648908,381676.639391401,-11475.2672575069,-2.91878713124353,393152,381677,-11475
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",90596.6172465672,104722.365004984,14125.7477584168,15.591915225678,90597,104722,14126
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Cattle","Grazer","Cattle_Grazer","SSP245_2050",139640.053291775,446279.990342517,306639.937050742,219.593110874874,139640,446280,306640
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",1705999.73774779,3523421.27537857,1817421.53763078,106.531173330079,1706000,3523421,1817422
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",3212301.67782159,2801295.16740831,-411006.510413273,-12.7947668567666,3212302,2801295,-411007
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",579287.586862607,1502596.37146899,923308.784606382,159.38694450661,579288,1502596,923309
"Cluster","Cluster_4","Cluster E — Kunene (North)","Cattle","Grazer","Cattle_Grazer","SSP245_2050",80581.8940422856,278698.828092912,198116.934050626,245.857877138832,80582,278699,198117
"Cluster","Cluster_4","Cluster E — Kunene (North)","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",918957.247252997,2230524.16187802,1311566.91462502,142.723387681597,918957,2230524,1311567
"Cluster","Cluster_4","Cluster E — Kunene (North)","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",1597669.86755145,1864494.9638746,266825.096323145,16.7008905746013,1597670,1864495,266825
"Cluster","Cluster_4","Cluster E — Kunene (North)","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",351773.317193141,961410.021782162,609636.704589022,173.303850744967,351773,961410,609637
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Cattle","Grazer","Cattle_Grazer","SSP245_2050",62185.4621290538,89102.8052542993,26917.3431252455,43.2855883090228,62185,89103,26917
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",580119.287646461,738610.956396917,158491.668750455,27.3205308159042,580119,738611,158492
