"species","feeding_regime","forage_profile","body_mass_kg","DMI_fraction","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","total_area_ha","valid_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,10790502.9443707,2986.16381468678,"Forage-limited potential livestock carrying capacity",115912.196570543,115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",2986.16381468678,0,0,2986,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,16161301.3401477,35422.0303345703,"Forage-limited potential livestock carrying capacity",115912.196570543,115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",35422.0303345703,0,0,35422,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,26535143.2696311,64621.3534724654,"Forage-limited potential livestock carrying capacity",115912.196570543,115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",64621.3534724654,0,0,64621,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,12034639.3912652,12211.7091742924,"Forage-limited potential livestock carrying capacity",115912.196570543,115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",12211.7091742924,0,0,12212,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,39996519.5108917,11068.6369201306,"Forage-limited potential livestock carrying capacity",154785.398926622,154785.398926622,0,0,"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Current","Current","Current",11068.6369201306,0,0,11069,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,40463465.822321,88687.0483776898,"Forage-limited potential livestock carrying capacity",154785.398926622,154785.398926622,0,0,"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Current","Current","Current",88687.0483776898,0,0,88687,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,30523550.3482208,74334.3691889701,"Forage-limited potential livestock carrying capacity",154785.398926622,154785.398926622,0,0,"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Current","Current","Current",74334.3691889701,0,0,74334,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,36984989.5926251,37529.1624481229,"Forage-limited potential livestock carrying capacity",154785.398926622,154785.398926622,0,0,"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Current","Current","Current",37529.1624481229,0,0,37529,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,10250968.9144876,2836.85316576383,"Forage-limited potential livestock carrying capacity",117772.185792675,117725.880404593,46.3053880814405,0.0393177623135534,"Conservancy","Conservancy_3","Otjitanda","Current","Current","Current",2836.85316576383,0,0,2837,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,14860550.2460799,32571.069032504,"Forage-limited potential livestock carrying capacity",117772.185792675,117725.880404593,46.3053880814405,0.0393177623135534,"Conservancy","Conservancy_3","Otjitanda","Current","Current","Current",32571.069032504,0,0,32571,0
