"spatial_unit","unit_id","unit","climate_scenario","management_scenario","feeding_regime","livestock_species","mean_species_capacity_animals","median_species_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Conservancy","Conservancy_1","Okanguati","Current","Current","Browser-Mixed",1,64621,64621,0,0
"Conservancy","Conservancy_1","Okanguati","Current","Current","Grazer",2,7599,7599,0,0
"Conservancy","Conservancy_1","Okanguati","Current","Current","Grazer-Mixed",1,35422,35422,0,0
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","With_Intervention","Browser-Mixed",1,57378,57378,-11.2082613834716,-11.2082613834716
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","With_Intervention","Grazer",2,16854,16854,134.354501356153,134.354501356153
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","With_Intervention","Grazer-Mixed",1,62604,62604,76.7372246508373,76.7372246508373
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Without_Intervention","Browser-Mixed",1,63842,63842,-1.20616948898604,-1.20616948898604
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Without_Intervention","Grazer",2,7164,7164,-6.11803124856774,-6.11803124856774
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Without_Intervention","Grazer-Mixed",1,33963,33963,-4.11853742780987,-4.11853742780987
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","With_Intervention","Browser-Mixed",1,54827,54827,-15.1566199158622,-15.1566199158622
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","With_Intervention","Grazer",2,16088,16088,123.686727618475,123.686727618475
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","With_Intervention","Grazer-Mixed",1,59768,59768,68.7318599695494,68.7318599695494
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Without_Intervention","Browser-Mixed",1,61043,61043,-5.53691698547464,-5.53691698547464
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Without_Intervention","Grazer",2,6786,6786,-11.142694486003,-11.142694486003
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Without_Intervention","Grazer-Mixed",1,32281,32281,-8.86736376955293,-8.86736376955293
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","With_Intervention","Browser-Mixed",1,55534,55534,-14.0620102664615,-14.0620102664615
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","With_Intervention","Grazer",2,16313,16313,126.825552986042,126.825552986042
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","With_Intervention","Grazer-Mixed",1,60593,60593,71.0588344743972,71.0588344743972
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","Without_Intervention","Browser-Mixed",1,61790,61790,-4.38133732031666,-4.38133732031666
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","Without_Intervention","Grazer",2,6934,6934,-9.13289503102918,-9.13289503102918
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","Without_Intervention","Grazer-Mixed",1,32872,32872,-7.19862858391379,-7.19862858391379
"Conservancy","Conservancy_1","Okanguati","SSP585_2090","With_Intervention","Browser-Mixed",1,52775,52775,-18.3322306887224,-18.3322306887224
"Conservancy","Conservancy_1","Okanguati","SSP585_2090","With_Intervention","Grazer",2,15486,15486,115.316897174213,115.316897174213
