"spatial_unit","unit_id","unit","species","feeding_regime","forage_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Conservancy","Conservancy_1","Okanguati","Cattle","Grazer","Cattle_Grazer","SSP245_2050",2784.09505975868,7615.87154483657,4831.77648507788,173.549263993043,2784,7616,4832
"Conservancy","Conservancy_1","Okanguati","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",33963.1607575509,62603.9133282973,28640.7525707464,84.3288785022131,33963,62604,28641
"Conservancy","Conservancy_1","Okanguati","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",63841.9104235107,57378.4232657344,-6463.48715777633,-10.1242069902032,63842,57378,-6463
"Conservancy","Conservancy_1","Okanguati","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",11543.8229232174,26092.803434581,14548.9805113636,126.032602961208,11544,26093,14549
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Cattle","Grazer","Cattle_Grazer","SSP245_2050",10779.255169647,12223.8048641934,1444.54969454636,13.4012013985347,10779,12224,1445
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",86540.2834338713,95271.900507746,8731.61707387463,10.0896562010301,86540,95272,8732
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",73208.38835855,71942.2682072129,-1266.12015133708,-1.72947414869461,73208,71942,-1266
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",36603.6002132972,40968.2678941222,4364.66768082498,11.9241485957422,36604,40968,4365
"Conservancy","Conservancy_3","Otjitanda","Cattle","Grazer","Cattle_Grazer","SSP245_2050",2642.90970833518,7475.11056462497,4832.20085628979,182.83639585,2643,7475,4832
"Conservancy","Conservancy_3","Otjitanda","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",31543.5934782859,61048.6423452399,29505.0488669539,93.5373735629224,31544,61049,29505
"Conservancy","Conservancy_3","Otjitanda","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",57892.9529378564,54769.2315344547,-3123.72140340162,-5.39568504435194,57893,54769,-3124
"Conservancy","Conservancy_3","Otjitanda","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",11011.2124876804,25643.6594709413,14632.4469832608,132.886791528471,11011,25644,14632
"Conservancy","Conservancy_4","Orupupa","Cattle","Grazer","Cattle_Grazer","SSP245_2050",2939.36522233619,5910.31219242102,2970.94697008483,101.0744410905,2939,5910,2971
"Conservancy","Conservancy_4","Orupupa","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",35465.9089795426,53182.9049065956,17716.995927053,49.9550030912008,35466,53183,17717
"Conservancy","Conservancy_4","Orupupa","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",65884.9777195862,62323.3906338959,-3561.58708569023,-5.40576503015413,65885,62323,-3562
"Conservancy","Conservancy_4","Orupupa","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",12155.1061643477,21111.0893487013,8955.98318435358,73.680830617691,12155,21111,8956
"Conservancy","Conservancy_5","Omuramba ua Mbinda","Cattle","Grazer","Cattle_Grazer","SSP245_2050",7254.25981232709,23959.7377522104,16705.4779398833,230.285079002766,7254,23960,16705
"Conservancy","Conservancy_5","Omuramba ua Mbinda","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",90284.4449785624,189295.931979079,99011.4870005165,109.666163450444,90284,189296,99011
"Conservancy","Conservancy_5","Omuramba ua Mbinda","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",173273.177231584,150881.198853886,-22391.9783776979,-12.9229340255996,173273,150881,-22392
"Conservancy","Conservancy_5","Omuramba ua Mbinda","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",30398.803023085,80699.6240164644,50300.8209933794,165.469742197351,30399,80700,50301
"Conservancy","Conservancy_6","Otjombinde","Cattle","Grazer","Cattle_Grazer","SSP245_2050",13277.5367522813,43777.9077085781,30500.3709562968,229.714076679594,13278,43778,30500
"Conservancy","Conservancy_6","Otjombinde","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",164977.427596001,345749.692437374,180772.264841373,109.57393837177,164977,345750,180772
"Conservancy","Conservancy_6","Otjombinde","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",316094.747162859,275212.130728724,-40882.6164341355,-12.9336589111593,316095,275212,-40883
"Conservancy","Conservancy_6","Otjombinde","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",55590.1699013152,147427.931456257,91837.7615549421,165.205038441103,55590,147428,91838
