"spatial_unit","climate_scenario","management_scenario","species","feeding_regime","units","mean_capacity_animals","median_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Conservancy","Current","Current","Cattle","Grazer",90,4363,2171,0,0
"Conservancy","Current","Current","Donkeys","Grazer",90,17600,8997,0,0
"Conservancy","Current","Current","Goats","Browser-Mixed",90,76492,41248,0,0
"Conservancy","Current","Current","Sheep","Grazer-Mixed",90,47221,24555,0,0
"Conservancy","SSP245_2050","With_Intervention","Cattle","Grazer",90,10803,6103,198.755303949355,157.136327934629
"Conservancy","SSP245_2050","With_Intervention","Donkeys","Grazer",90,37092,21260,113.96261892354,115.008784794792
"Conservancy","SSP245_2050","With_Intervention","Goats","Browser-Mixed",90,74125,46963,18.8044248168753,-6.16794546062797
"Conservancy","SSP245_2050","With_Intervention","Sheep","Grazer-Mixed",90,86983,50739,115.124935902825,77.8917584148523
"Conservancy","SSP245_2050","Without_Intervention","Cattle","Grazer",90,4016,1947,-10.6065525084998,-7.36624929312662
"Conservancy","SSP245_2050","Without_Intervention","Donkeys","Grazer",90,16433,8516,-7.86021091297596,-6.12637252033603
"Conservancy","SSP245_2050","Without_Intervention","Goats","Browser-Mixed",90,73803,38897,-5.05375061100831,-3.49110101066689
"Conservancy","SSP245_2050","Without_Intervention","Sheep","Grazer-Mixed",90,44355,22445,-8.23609930444018,-5.4288010903663
"Conservancy","SSP245_2090","With_Intervention","Cattle","Grazer",90,10390,5802,185.645572520917,145.077089407502
"Conservancy","SSP245_2090","With_Intervention","Donkeys","Grazer",90,35681,20302,105.157735223813,105.738439743032
"Conservancy","SSP245_2090","With_Intervention","Goats","Browser-Mixed",90,71391,44967,14.1851362085583,-7.42957831722508
"Conservancy","SSP245_2090","With_Intervention","Sheep","Grazer-Mixed",90,83695,49091,106.006136611415,70.6662175905995
"Conservancy","SSP245_2090","Without_Intervention","Cattle","Grazer",90,3836,1831,-15.1176335552052,-10.7712301088657
"Conservancy","SSP245_2090","Without_Intervention","Donkeys","Grazer",90,15732,8110,-12.0044072206736,-9.82899590741388
"Conservancy","SSP245_2090","Without_Intervention","Goats","Browser-Mixed",90,71176,37098,-8.67938030420644,-6.19716124137133
