"PA_ID","PA","Cluster","Current_Percolation_m3","SSP245_2050_With_Intervention_m3","SSP245_2050_Without_Intervention_m3","SSP245_2090_With_Intervention_m3","SSP245_2090_Without_Intervention_m3","SSP585_2050_With_Intervention_m3","SSP585_2050_Without_Intervention_m3","SSP585_2090_With_Intervention_m3","SSP585_2090_Without_Intervention_m3","Mean_With_Intervention_m3","Mean_Without_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
1,"Okanguati","Cluster E — Kunene (North)",6741319.19990136,8510666.01853528,6847769.40568683,8048711.62546547,6475964.00027392,8199705.13418221,6597672.13719587,7939976.94902514,6388717.25926348,8174764.93180203,6577530.70060502,1597234.231197,24.2831892985324
2,"Iipumbu ya Tshilongo","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",11908907.2765531,15451010.1644645,12092327.7455571,14928595.6301091,11681928.1893313,14817798.0950875,11596146.3742691,14474108.5279098,11325772.6355552,14917878.1043927,11674043.7361782,3243834.36821455,27.7867244762996
3,"Otjitanda","Cluster E — Kunene (North)",6770169.12692356,8702782.72459029,7013925.3410852,8095401.26817381,6524588.09980389,8521205.05084582,6867599.09765251,8049570.90376417,6487734.75914054,8342239.98684352,6723461.82442053,1618778.16242299,24.0765576528354
4,"Orupupa","Cluster A — South, Kunene South & Erongo",7265296.99633203,9364067.51028805,7348644.02031532,8899540.59342423,6984810.78012851,8984470.62101346,7050451.11817763,8538643.72357021,6701943.86420056,8946680.61207399,7021462.44570551,1925218.16636848,27.4190481150546
5,"Omuramba ua Mbinda","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",23038035.4439213,27551548.0501545,22260771.6219083,26808909.055041,21660761.3214251,26814481.4368222,21665256.1326761,25443616.1115982,20557645.9459394,26654638.663404,21536108.7554872,5118529.90791677,23.7671993860665
6,"Otjombinde","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",40225210.6356748,47855438.3523822,38656803.6845885,46542819.0504151,37596948.3919785,46821457.7653427,37821571.1620408,44141162.9935984,35656900.4899294,46340219.5404346,37433055.9321343,8907163.60830028,23.794914378481
7,"Bamunu","Cluster C — Kavango East, Kavango West & Zambezi",6179561.7267603,7459826.45634533,5837446.89032463,7520706.64129179,5883406.21095322,7607522.55779828,5952855.24965107,7283667.44288184,5698337.36850418,7467930.77457931,5843011.42985828,1624919.34472104,27.8096211898125
8,"Mashi","Cluster C — Kavango East, Kavango West & Zambezi",4746141.29772685,5421934.87044035,4454704.00423835,5449247.89269437,4478800.68995507,5514219.11107995,4530652.72947841,5271525.18839423,4332737.09357282,5414231.76565223,4449223.62931116,965008.136341063,21.6893601387815
9,"Ovitoto","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",4404871.9411704,5717361.17177397,4411255.99478588,5461537.60487757,4213855.23548103,5429347.88043519,4189020.90969287,5030350.15672637,3881100.81727554,5409649.20345328,4173808.23930883,1235840.96414444,29.6094332390578
10,"Salambala","Cluster C — Kavango East, Kavango West & Zambezi",10934935.5206682,13046156.5180566,10335137.3654489,13162766.1316342,10430256.4128971,13357599.3997272,10584959.1952668,12781874.9486505,10131260.8226771,13087099.2495171,10370403.4490725,2716695.80044468,26.1966259440723
