"PA_ID","PA","Cluster","Current_Percolation_m3","Mean_Without_Intervention_m3","Mean_With_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
1,"Okanguati","Cluster E — Kunene (North)",6741319.19990136,6577530.70060502,8174764.93180203,1597234.231197,24.2831892985324
2,"Iipumbu ya Tshilongo","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",11908907.2765531,11674043.7361782,14917878.1043927,3243834.36821455,27.7867244762996
3,"Otjitanda","Cluster E — Kunene (North)",6770169.12692356,6723461.82442053,8342239.98684352,1618778.16242299,24.0765576528354
4,"Orupupa","Cluster A — South, Kunene South & Erongo",7265296.99633203,7021462.44570551,8946680.61207399,1925218.16636848,27.4190481150546
5,"Omuramba ua Mbinda","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",23038035.4439213,21536108.7554872,26654638.663404,5118529.90791677,23.7671993860665
6,"Otjombinde","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",40225210.6356748,37433055.9321343,46340219.5404346,8907163.60830028,23.794914378481
7,"Bamunu","Cluster C — Kavango East, Kavango West & Zambezi",6179561.7267603,5843011.42985828,7467930.77457931,1624919.34472104,27.8096211898125
8,"Mashi","Cluster C — Kavango East, Kavango West & Zambezi",4746141.29772685,4449223.62931116,5414231.76565223,965008.136341063,21.6893601387815
9,"Ovitoto","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",4404871.9411704,4173808.23930883,5409649.20345328,1235840.96414444,29.6094332390578
10,"Salambala","Cluster C — Kavango East, Kavango West & Zambezi",10934935.5206682,10370403.4490725,13087099.2495171,2716695.80044468,26.1966259440723
11,"Doro !nawas Area2","Cluster E — Kunene (North)",3943108.17697402,3705442.6465714,4594733.42770339,889290.781131996,23.9995829365986
12,"Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Cluster E — Kunene (North)",448413.480242625,424426.321706111,514715.533788305,90289.2120821939,21.2732357689902
13,"Kwandu","Cluster C — Kavango East, Kavango West & Zambezi",2207123.86082276,2060592.2535144,2536493.93972225,475901.686207847,23.0953836401249
14,"Orupembe","Cluster E — Kunene (North)",14542423.4885728,15093405.4639397,18207462.3808452,3114056.91690549,20.6319039420587
15,"Mayuni","Cluster C — Kavango East, Kavango West & Zambezi",1721405.18324405,1607984.12335582,1955713.91728239,347729.79392657,21.6252007016628
16,"Uibasen Twyfelfontein","Cluster E — Kunene (North)",804790.865752687,760715.890707813,912427.106808452,151711.216100639,19.9432163773362
17,"Oskop","Cluster F —    //Karas,Hardap",358565.470700138,326677.196695988,408346.491852997,81669.2951570089,24.9999987703494
18,"//Huab","Cluster E — Kunene (North)",6822542.17925587,6316976.40394858,8162133.00169963,1845156.59775105,29.2094901066543
19,"Omatendeka","Cluster A — South, Kunene South & Erongo",9316582.85604072,8890560.30207016,11255747.887568,2365187.58549789,26.6033580014879
20,"//Gamaseb","Cluster F —    //Karas,Hardap",4002154.96570507,3355203.96118815,4045294.06683326,690090.105645115,20.5677542595872
21,"Ehi-Rovipuka","Cluster A — South, Kunene South & Erongo",11135224.7523702,10720002.1724361,13646312.4827581,2926310.31032201,27.2976652732992
22,"/Audi","Cluster E — Kunene (North)",1706790.89692271,1594245.83376312,2075677.83547976,481432.001716635,30.1981031733508
23,"Uukolonkadhi Ruacana","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",20193876.8151837,19860072.9367006,24522409.3061686,4662336.369468,23.4759277286047
24,"Uukwaluudhi","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",9420925.95940188,9212570.96764117,11277530.5415706,2064959.57392947,22.4145852572813
25,"Okamatapati","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",26463517.6657022,24905218.5262448,30912314.9944821,6007096.46823731,24.1198303958149
26,"Otjituuo","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",51998193.0003045,49311665.8052323,61242774.2780228,11931108.4727905,24.1953060760818
27,"Ozonahi","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",25179078.4452768,23752233.2110008,29543759.2884961,5791526.07749531,24.3830802183812
28,"N#a Jaqna","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",80147830.9632458,76492850.4034803,95347253.9107364,18854403.5072562,24.6485827208739
29,"!Han /Awab","Cluster F —    //Karas,Hardap",5204651.67415202,4553764.50870764,5750361.71032817,1196597.20162053,26.2770988559557
30,"!Khob !naub","Cluster F —    //Karas,Hardap",8543612.57261039,7663915.88255873,9591575.69512285,1927659.81256413,25.1524134933556
31,"Anabeb","Cluster A — South, Kunene South & Erongo",6757291.17717175,6438181.66308557,7773614.3203403,1335432.65725473,20.7423885677484
32,"Ozondundu","Cluster A — South, Kunene South & Erongo",4935803.9073179,4661765.46151184,5680070.77195663,1018305.31044479,21.8437696802222
33,"Sesfontein","Cluster A — South, Kunene South & Erongo",9140785.18815599,9247319.79823536,10824909.6432072,1577589.84497185,17.0599685032294
34,"George Mukoya","Cluster C — Kavango East, Kavango West & Zambezi",5019835.18167582,4807788.65462708,5818366.99211829,1010578.33749121,21.019608183455
35,"Muduva Nyangana","Cluster C — Kavango East, Kavango West & Zambezi",6507988.14686266,6208247.21704454,7519906.21566988,1311658.99862533,21.1276863302772
