"PA_ID","PA","Cluster","Current_Runoff_m3","SSP245_2050_With_Intervention_m3","SSP245_2050_Without_Intervention_m3","SSP245_2090_With_Intervention_m3","SSP245_2090_Without_Intervention_m3","SSP585_2050_With_Intervention_m3","SSP585_2050_Without_Intervention_m3","SSP585_2090_With_Intervention_m3","SSP585_2090_Without_Intervention_m3","Mean_With_Intervention_m3","Mean_Without_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
1,"Okanguati","Cluster E — Kunene (North)",20223957.208723,16808246.2920261,20543307.6832838,15895871.8979991,19427892.6146263,16194622.3132221,19793016.5995581,15682319.2877988,19166152.5334587,16145264.9477615,19732592.3577317,-3587327.40997019,-18.1797066748029
2,"Iipumbu ya Tshilongo","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",35726724.773643,28794991.5132079,36276986.3003867,27818462.0465776,35045787.4752373,27611743.0375462,34788442.0754092,26968840.6002363,33977320.7373942,27798509.299392,35022134.1471069,-7223624.84771488,-20.6258842404429
3,"Otjitanda","Cluster E — Kunene (North)",20310507.3125934,17232308.9269818,21041775.9121075,16032042.3666559,19573764.6607745,16872621.55576,20602797.1604884,15941698.0256144,19463204.6306692,16519667.718753,20170385.5910099,-3650717.87225688,-18.0993955508914
4,"Orupupa","Cluster A — South, Kunene South & Erongo",21795890.8734544,17853300.1505049,22045931.9345124,16972087.3399903,20954432.5912709,17128074.4254326,21151353.4567699,16285754.6917498,20105831.9739076,17059804.1519194,21064387.4891152,-4004583.33719581,-19.0111549137858
5,"Omuramba ua Mbinda","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",69114112.8335561,54536317.4630877,66782318.6121619,53066426.6060481,64982286.9282228,53077428.8106176,64995770.5634673,50363904.1077105,61672937.3030583,52761019.246866,64608328.3517276,-11847309.1048616,-18.3371237224478
6,"Otjombinde","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",120675637.014266,94677862.1122642,115970412.306032,92084329.7717596,112790843.819153,92632269.8366114,113464712.499223,87332640.1432039,106970698.988211,91681775.4659598,112299166.903155,-20617391.4371949,-18.3593449584315
7,"Bamunu","Cluster C — Kavango East, Kavango West & Zambezi",18538684.6972502,13936673.2832481,17512341.7240755,14044313.8873574,17650219.6967063,14203902.1064513,17858566.1719316,13595791.0454811,17095012.8441165,13945170.0806345,17529035.1092075,-3583865.02857301,-20.4453069221735
8,"Mashi","Cluster C — Kavango East, Kavango West & Zambezi",14238423.8444145,11224601.8719766,13364112.8162173,11295948.4220292,13436402.7710607,11412169.5329488,13591958.8348012,10923403.1294183,12998212.8431628,11214030.7390932,13347671.8163105,-2133641.07721729,-15.9851179035586
9,"Ovitoto","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",13214616.7316927,10385390.1369806,13233768.8731356,9920605.08588441,12641566.042419,9862140.27350796,12567063.0409938,9137063.72117158,11643302.1926485,9826299.80438613,12521425.0372992,-2695125.2329131,-21.5241094754373
10,"Salambala","Cluster C — Kavango East, Kavango West & Zambezi",32804805.7695889,24892368.619736,31005411.6132834,25141220.3470361,31290768.8280309,25473649.4663961,31754876.9392374,24401671.3649476,30393782.7166363,24977227.449529,31111210.024297,-6133982.57476801,-19.7163098766571
11,"Doro !nawas Area2","Cluster E — Kunene (North)",11829324.5235714,9694759.99507497,11827013.0562262,9073416.57711182,11069288.0538344,9357966.95186263,11415200.8406133,8322371.35782626,10153810.8510013,9112128.72046892,11116328.2004188,-2004199.47994988,-18.029329863384
12,"Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Cluster E — Kunene (North)",1345240.40208076,1135662.40433421,1356602.1597338,1056991.75914151,1262525.16194675,1106780.11074317,1322094.18096695,964360.005189042,1151894.52325024,1065948.56985198,1273279.00647444,-207330.436622454,-16.2831897461758
13,"Kwandu","Cluster C — Kavango East, Kavango West & Zambezi",6621371.42000153,5107307.81901572,6180412.87029048,5153503.83339753,6215075.03136818,5194937.94520302,6303354.75819026,4976722.83434716,6028264.74977668,5108118.10799086,6181776.8524064,-1073658.74441554,-17.3681252178748
14,"Orupembe","Cluster E — Kunene (North)",43627274.5131005,39878199.7018712,47498125.4980471,36796654.151658,43829587.5279884,39098637.7487232,46566682.0601121,36287124.0488108,43226488.8648786,38015153.9127658,45280220.9877565,-7265067.07499075,-16.0446811356225
15,"Mayuni","Cluster C — Kavango East, Kavango West & Zambezi",5164215.33189276,4071959.37045075,4828266.3046023,4109933.12139997,4854979.91051805,4142275.34310244,4913408.60947651,3970861.45816214,4699155.28774164,4073757.32327882,4823952.52808463,-750195.204805802,-15.5514632542139
16,"Uibasen Twyfelfontein","Cluster E — Kunene (North)",2414372.57692933,2054022.69229749,2433135.11273568,1911829.71840132,2264022.52623516,1994381.91233045,2362474.0646747,1747134.85180038,2068959.3692278,1926842.29370741,2282147.76821833,-355305.474510923,-15.5689074765
17,"Oskop","Cluster F —    //Karas,Hardap",1075696.48521963,822360.252130358,1027950.9041585,796139.79276717,995175.322759624,797845.662581861,997307.669627032,719753.852138333,899692.706382247,784024.889904431,980031.650731851,-196006.760827421,-20.0000439456267
18,"//Huab","Cluster E — Kunene (North)",20467628.048475,15893986.3108579,20100276.9910492,14946625.3752787,18903233.446639,15303814.2164983,19353003.6663731,13794368.0571379,17447205.9964152,14984698.4899432,18950930.0251191,-3966231.53517592,-20.9289545680278
19,"Omatendeka","Cluster A — South, Kunene South & Erongo",27949750.2535717,22762016.4449276,28098946.3678819,21422876.1593599,26439037.8277256,21926852.8519119,27067814.3801433,20321517.1275367,25080932.2721222,21608315.645934,26671682.7119683,-5063367.06603423,-18.9840555645264
