"PA_ID","PA","Cluster","Current_Runoff_m3","Mean_Without_Intervention_m3","Mean_With_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
1,"Okanguati","Cluster E — Kunene (North)",20223957.208723,19732592.3577317,16145264.9477615,-3587327.40997019,-18.1797066748029
2,"Iipumbu ya Tshilongo","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",35726724.773643,35022134.1471069,27798509.299392,-7223624.84771488,-20.6258842404429
3,"Otjitanda","Cluster E — Kunene (North)",20310507.3125934,20170385.5910099,16519667.718753,-3650717.87225688,-18.0993955508914
4,"Orupupa","Cluster A — South, Kunene South & Erongo",21795890.8734544,21064387.4891152,17059804.1519194,-4004583.33719581,-19.0111549137858
5,"Omuramba ua Mbinda","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",69114112.8335561,64608328.3517276,52761019.246866,-11847309.1048616,-18.3371237224478
6,"Otjombinde","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",120675637.014266,112299166.903155,91681775.4659598,-20617391.4371949,-18.3593449584315
7,"Bamunu","Cluster C — Kavango East, Kavango West & Zambezi",18538684.6972502,17529035.1092075,13945170.0806345,-3583865.02857301,-20.4453069221735
8,"Mashi","Cluster C — Kavango East, Kavango West & Zambezi",14238423.8444145,13347671.8163105,11214030.7390932,-2133641.07721729,-15.9851179035586
9,"Ovitoto","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",13214616.7316927,12521425.0372992,9826299.80438613,-2695125.2329131,-21.5241094754373
10,"Salambala","Cluster C — Kavango East, Kavango West & Zambezi",32804805.7695889,31111210.024297,24977227.449529,-6133982.57476801,-19.7163098766571
11,"Doro !nawas Area2","Cluster E — Kunene (North)",11829324.5235714,11116328.2004188,9112128.72046892,-2004199.47994988,-18.029329863384
12,"Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Cluster E — Kunene (North)",1345240.40208076,1273279.00647444,1065948.56985198,-207330.436622454,-16.2831897461758
