spatial_unit;unit_id;unit;climate_scenario;feeding_group;species_count;species_estimated;mean_intervention_benefit_animals;median_intervention_benefit_animals;mean_intervention_benefit_pct;median_intervention_benefit_pct;species_positive_benefit;species_negative_benefit
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;Browser;7;7;-72730;-58181;-6.20847608782889;-6.61316248443619;0;7
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;Carnivore;4;0;;;;;0;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;Grazer;12;12;164692;118324;227.791239488051;213.311858214862;12;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;Mixed;6;6;165203;124866;97.8981407340294;111.112253974476;6;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;Omnivore;3;3;545662;264030;58.020614365351;58.020614365351;3;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;Browser;7;7;-71569;-57385;-6.37109793159263;-6.79480091666523;0;7
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;Carnivore;4;0;;;;;0;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;Grazer;12;12;157524;113177;233.758777076343;218.052426843481;12;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;Mixed;6;6;157888;119337;98.7138280445781;112.147699053359;6;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;Omnivore;3;3;520720;251961;58.1248347572863;58.1248347572863;3;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;Browser;7;7;-68333;-54584;-6.03002400070788;-6.41959042584767;0;7
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;Carnivore;4;0;;;;;0;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;Grazer;12;12;160405;115241;229.116689712808;214.50467146165;12;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;Mixed;6;6;161058;121734;98.6228460460735;111.939430137075;6;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;Omnivore;3;3;532909;257859;58.5715245450189;58.5715245450189;3;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;Browser;7;7;-70101;-56354;-6.67460328067572;-7.12537901469364;0;7
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;Carnivore;4;0;;;;;0;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;Grazer;12;12;145642;104646;231.991460159781;216.427578381102;12;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;Mixed;6;6;145735;110150;97.5901741535925;110.871468015763;6;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;Omnivore;3;3;479156;231850;57.2366566648469;57.236656664847;3;0
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;Browser;7;7;-103175;-58803;-9.58566204373985;-11.2399835153202;0;7
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;Carnivore;4;0;;;;;0;0
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;Grazer;12;12;12676;9435;18.3312064842974;20.8894643450142;12;0
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;Mixed;6;6;7154;4950;4.72540379667673;6.2422651091768;5;1
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2050;Omnivore;3;3;-3309;-1601;-0.388061680917932;-0.388061680917935;0;3
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;Browser;7;7;-104229;-63690;-9.90443052741462;-11.3235823673767;0;7
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;Carnivore;4;0;;;;;0;0
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;Grazer;12;12;13477;9984;19.8733170495287;22.6613761577935;12;0
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;Mixed;6;6;7843;5532;5.35505553633541;6.91031682647232;5;1
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP245_2090;Omnivore;3;3;-2817;-1363;-0.334548887079786;-0.334548887079787;0;3
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP585_2050;Browser;7;7;-114143;-47554;-9.98989777129173;-12.8070148968367;0;7
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP585_2050;Carnivore;4;0;;;;;0;0
Cluster;Cluster_2;Cluster C — Kavango East, Kavango West & Zambezi;SSP585_2050;Grazer;12;12;10996;8389;16.1918760988865;18.6208871805775;12;0
