spatial_unit;unit_id;unit;climate_scenario;management_scenario;feeding_group;species_count;species_estimated;mean_species_capacity_animals;median_species_capacity_animals;mean_change_from_current_pct;median_change_from_current_pct
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;Current;Current;Browser;7;7;1250106;889646;0;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;Current;Current;Carnivore;4;0;;;;
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;Current;Current;Grazer;12;12;99936;61283;0;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;Current;Current;Mixed;6;6;164608;132243;0;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;Current;Current;Omnivore;3;3;986693;477432;0;0
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;With_Intervention;Browser;7;7;1163462;821588;-7.24863832485871;-7.65000841040163
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;With_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;With_Intervention;Grazer;12;12;253643;173794;183.540462289609;174.784133038604
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;With_Intervention;Mixed;6;6;317837;247956;84.3621567764358;95.4414195712045
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;With_Intervention;Omnivore;3;3;1486123;719092;50.6166545179507;50.6166545179507
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;Without_Intervention;Browser;7;7;1236191;879769;-1.10763457216702;-1.11026987694347
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;Without_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;Without_Intervention;Grazer;12;12;88951;55145;-12.837511423187;-12.2969253049583
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;Without_Intervention;Mixed;6;6;152634;123091;-6.73419357810733;-7.42298663779405
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2050;Without_Intervention;Omnivore;3;3;940462;455062;-4.6854392239496;-4.6854392239496
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;With_Intervention;Browser;7;7;1114093;787157;-11.1677569625583;-11.5202331462207
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;With_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;With_Intervention;Grazer;12;12;240983;165080;169.291330026958;161.007028915452
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;With_Intervention;Mixed;6;6;302448;235973;75.479346889031;85.9712315415808
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;With_Intervention;Omnivore;3;3;1416586;685445;43.569111926683;43.569111926683
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;Without_Intervention;Browser;7;7;1185662;844542;-5.12200962627428;-5.0699234334884
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;Without_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;Without_Intervention;Grazer;12;12;83460;51850;-18.5503875141152;-17.9358473991781
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;Without_Intervention;Mixed;6;6;144560;116637;-11.5719763393805;-12.3387939763583
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP245_2090;Without_Intervention;Omnivore;3;3;895865;433483;-9.20520982864305;-9.20520982864305
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;With_Intervention;Browser;7;7;1127801;795686;-10.1184695166472;-10.5615683679652
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;With_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;With_Intervention;Grazer;12;12;246603;168965;175.671706387743;167.148924326863
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;With_Intervention;Mixed;6;6;308781;240909;79.1004000517186;89.8693307434216
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;With_Intervention;Omnivore;3;3;1442753;698106;46.2211331817465;46.2211331817465
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;Without_Intervention;Browser;7;7;1196134;850269;-4.34871605841859;-4.40848403987246
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;Without_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;Without_Intervention;Grazer;12;12;86198;53451;-15.5807793175072;-15.0572476124767
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;Without_Intervention;Mixed;6;6;147723;119174;-9.72463493779127;-10.413399422363
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2050;Without_Intervention;Omnivore;3;3;909844;440247;-7.78853038003435;-7.78853038003435
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;With_Intervention;Browser;7;7;1038087;734538;-17.1875715422386;-17.4347724356158
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;With_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;With_Intervention;Grazer;12;12;223336;152997;149.564232179072;141.90301813834
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;With_Intervention;Mixed;6;6;280679;218966;62.8656152489061;72.5912527952885
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;With_Intervention;Omnivore;3;3;1316306;636922;33.405870154752;33.405870154752
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;Without_Intervention;Browser;7;7;1108188;790893;-11.2648621907466;-11.3559541478112
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;Without_Intervention;Carnivore;4;0;;;;
Cluster;Cluster_1;Cluster A — South, Kunene South & Erongo;SSP585_2090;Without_Intervention;Grazer;12;12;77694;48256;-24.1316799969695;-23.5518536734513
