"spatial_unit","unit_id","unit","species","feeding_group","habitat_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Baboon","Omnivore","Omnivore","SSP245_2050",455062.095719224,719091.919399359,264029.823680135,58.020614365351,455062,719092,264030
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Black rhinoceros","Browser","Shrub_Browser","SSP245_2050",19809.6881610284,18850.6286925834,-959.059468444932,-4.84136580368636,19810,18851,-959
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Black-backed Jackal","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Black-faced Impala","Mixed","Mixed_Open","SSP245_2050",316546.773049336,668269.027467922,351722.254418586,111.112253974476,316547,668269,351722
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Blue wildebeest","Grazer","General_Grazer","SSP245_2050",52828.4850047063,165517.908035005,112689.423030299,213.311858214862,52828,165518,112689
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Buffalo","Grazer","General_Grazer","SSP245_2050",23244.5334020708,72827.8795354022,49583.3461333315,213.311858214862,23245,72828,49583
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Burchell's zebra","Grazer","General_Grazer","SSP245_2050",36319.5834407356,113793.561774066,77473.9783333304,213.311858214862,36320,113794,77474
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Bushpig","Omnivore","Omnivore","SSP245_2050",182024.838287689,287636.767759743,105611.929472054,58.0206143653509,182025,287637,105612
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Cheetah","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Damara dik dik","Browser","Shrub_Browser","SSP245_2050",3961937.63220567,3770125.73851668,-191811.893688987,-4.84136580368636,3961938,3770126,-191812
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Duiker","Browser","Woodland_Browser","SSP245_2050",879768.759853621,821588.222277192,-58180.5375764293,-6.6131624844362,879769,821588,-58181
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Eland","Mixed","Mixed_Open","SSP245_2050",31654.6773049336,66826.9027467922,35172.2254418586,111.112253974476,31655,66827,35172
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Elephant","Mixed","Large_Mixed","SSP245_2050",4871.74381218925,7741.57381518958,2869.83000300033,58.907654294545,4872,7742,2870
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Gemsbok","Mixed","Arid_Mixed","SSP245_2050",87907.6871128776,161778.427893072,73870.7407801947,84.0321742117287,87908,161778,73871
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Giraffe","Browser","Woodland_Browser","SSP245_2050",18112.8862322804,16915.0516351187,-1197.83459716178,-6.61316248443619,18113,16915,-1198
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Hartmann's zebra","Grazer","Arid_Grazer","SSP245_2050",57461.3602054568,126269.122082565,68807.7618771085,119.746141809178,57461,126269,68808
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Hippopotamus","Grazer","Wetland_Grazer","SSP245_2050",2501.65466755424,10847.3379359767,8345.68326842246,333.606527578072,2502,10847,8346
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Impala","Mixed","Mixed_Open","SSP245_2050",316546.773049336,668269.027467922,351722.254418586,111.112253974476,316547,668269,351722
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Klipspringer","Browser","Rocky_Browser","SSP245_2050",1711708.19345446,1556015.53395432,-155692.659500138,-9.09574775043457,1711708,1556016,-155693
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Kudu","Browser","Woodland_Browser","SSP245_2050",81031.3331444125,75672.5994202677,-5358.73372414481,-6.61316248443621,81031,75673,-5359
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Leopard","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Ostrich","Mixed","Mixed_Open","SSP245_2050",158273.386524668,334134.513733961,175861.127209293,111.112253974476,158273,334135,175861
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Red Hartebeest","Grazer","General_Grazer","SSP245_2050",77481.7780069025,242759.598451341,165277.820444438,213.311858214862,77482,242760,165278
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Red Lechwe","Grazer","Wetland_Grazer","SSP245_2050",43778.9566821992,189828.413879592,146049.457197393,333.606527578072,43779,189828,146049
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Reedbuck","Grazer","Wetland_Grazer","SSP245_2050",77829.2563239096,337472.735785942,259643.479462032,333.606527578072,77829,337473,259643
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Roan","Grazer","General_Grazer","SSP245_2050",48426.1112543141,151724.749032088,103298.637777774,213.311858214862,48426,151725,103299
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Sable","Grazer","General_Grazer","SSP245_2050",58111.3335051769,182069.698838506,123958.365333329,213.311858214862,58111,182070,123958
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Spotted Hyaena","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Springbok","Grazer","Arid_Grazer","SSP245_2050",423399.496250734,930404.057450481,507004.561199747,119.746141809178,423399,930404,507005
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Steenbok","Browser","Shrub_Browser","SSP245_2050",1980968.81610284,1885062.86925834,-95905.9468444933,-4.84136580368636,1980969,1885063,-95906
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Vervet monkey","Omnivore","Omnivore","SSP245_2050",2184298.05945227,3451641.21311692,1267343.15366465,58.020614365351,2184298,3451641,1267343
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Warthog","Grazer","General_Grazer","SSP245_2050",166032.381443363,520199.139538587,354166.758095225,213.311858214862,166032,520199,354167
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Baboon","Omnivore","Omnivore","SSP245_2050",412639.047104757,411037.753082439,-1601.29402231844,-0.388061680917928,412639,411038,-1601
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Black rhinoceros","Browser","Shrub_Browser","SSP245_2050",15685.4233198579,13922.3843243977,-1763.03899546023,-11.2399835153202,15685,13922,-1763
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Black-backed Jackal","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Black-faced Impala","Mixed","Mixed_Open","SSP245_2050",252072.864361826,267807.920823587,15735.0564617608,6.2422651091768,252073,267808,15735
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Blue wildebeest","Grazer","General_Grazer","SSP245_2050",43014.3436110803,51999.8095829589,8985.46597187853,20.8894643450142,43014,52000,8985
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Buffalo","Grazer","General_Grazer","SSP245_2050",18926.3111888753,22879.9162165019,3953.60502762655,20.8894643450142,18926,22880,3954
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Burchell's zebra","Grazer","General_Grazer","SSP245_2050",29572.3612326177,35749.8690882842,6177.50785566649,20.8894643450142,29572,35750,6178
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Bushpig","Omnivore","Omnivore","SSP245_2050",165055.618841903,164415.101232976,-640.517608927388,-0.388061680917935,165056,164415,-641
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Cheetah","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Damara dik dik","Browser","Shrub_Browser","SSP245_2050",3137084.66397159,2784476.86487954,-352607.799092045,-11.2399835153202,3137085,2784477,-352608
