"species","feeding_group","habitat_profile","body_mass_kg","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","estimate_status","total_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Baboon","Omnivore","Omnivore",24,219,104557580.868118,477431.876110126,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",477431.876110126,0,0,477432,0
"Black rhinoceros","Browser","Shrub_Browser",1000,9125,182916543.798148,20045.6486354135,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",20045.6486354135,0,0,20046,0
"Black-backed Jackal","Carnivore","Carnivore",8.5,,,,"Prey biomass required - not estimated from forage","Not estimated: requires local preferred-prey biomass/density data",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",,,,,
"Black-faced Impala","Mixed","Mixed_Open",50,456.25,156004671.093354,341928.046232009,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",341928.046232009,0,0,341928,0
"Blue wildebeest","Grazer","General_Grazer",220,2007.5,120922993.881016,60235.6133902942,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",60235.6133902942,0,0,60236,0
"Buffalo","Grazer","General_Grazer",500,4562.5,120922993.881016,26503.6698917294,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",26503.6698917294,0,0,26504,0
"Burchell's zebra","Grazer","General_Grazer",320,2920,120922993.881016,41411.9842058272,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",41411.9842058272,0,0,41412,0
"Bushpig","Omnivore","Omnivore",60,547.5,104557580.868118,190972.75044405,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",190972.75044405,0,0,190973,0
"Cheetah","Carnivore","Carnivore",45,,,,"Prey biomass required - not estimated from forage","Not estimated: requires local preferred-prey biomass/density data",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",,,,,
"Damara dik dik","Browser","Shrub_Browser",5,45.625,182916543.798148,4009129.72708269,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",4009129.72708269,0,0,4009130,0
"Duiker","Browser","Woodland_Browser",17.5,159.6875,142065382.99205,889646.234001098,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",889646.234001098,0,0,889646,0
"Eland","Mixed","Mixed_Open",500,4562.5,156004671.093354,34192.8046232009,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",34192.8046232009,0,0,34193,0
"Elephant","Mixed","Large_Mixed",3500,31937.5,163280744.856897,5112.50864522573,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",5112.50864522573,0,0,5113,0
"Gemsbok","Mixed","Arid_Mixed",210,1916.25,179212840.60307,93522.6826369575,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",93522.6826369575,0,0,93523,0
"Giraffe","Browser","Woodland_Browser",850,7756.25,142065382.99205,18316.2459941402,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",18316.2459941402,0,0,18316,0
"Hartmann's zebra","Grazer","Arid_Grazer",280,2555,159255062.920002,62330.7486966738,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",62330.7486966738,0,0,62331,0
"Hippopotamus","Grazer","Wetland_Grazer",1400,12775,38713859.1013074,3030.43906859549,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",3030.43906859549,0,0,3030,0
