"unit_id","unit","species","feeding_group","habitat_profile","carrying_capacity_animals_Current","carrying_capacity_animals_SSP245_2050_Without_Intervention","carrying_capacity_animals_SSP245_2050_With_Intervention","carrying_capacity_animals_SSP245_2090_Without_Intervention","carrying_capacity_animals_SSP245_2090_With_Intervention","carrying_capacity_animals_SSP585_2050_Without_Intervention","carrying_capacity_animals_SSP585_2050_With_Intervention","carrying_capacity_animals_SSP585_2090_Without_Intervention","carrying_capacity_animals_SSP585_2090_With_Intervention","capacity_change_from_current_animals_Current","capacity_change_from_current_animals_SSP245_2050_Without_Intervention","capacity_change_from_current_animals_SSP245_2050_With_Intervention","capacity_change_from_current_animals_SSP245_2090_Without_Intervention","capacity_change_from_current_animals_SSP245_2090_With_Intervention","capacity_change_from_current_animals_SSP585_2050_Without_Intervention","capacity_change_from_current_animals_SSP585_2050_With_Intervention","capacity_change_from_current_animals_SSP585_2090_Without_Intervention","capacity_change_from_current_animals_SSP585_2090_With_Intervention","capacity_change_from_current_pct_Current","capacity_change_from_current_pct_SSP245_2050_Without_Intervention","capacity_change_from_current_pct_SSP245_2050_With_Intervention","capacity_change_from_current_pct_SSP245_2090_Without_Intervention","capacity_change_from_current_pct_SSP245_2090_With_Intervention","capacity_change_from_current_pct_SSP585_2050_Without_Intervention","capacity_change_from_current_pct_SSP585_2050_With_Intervention","capacity_change_from_current_pct_SSP585_2090_Without_Intervention","capacity_change_from_current_pct_SSP585_2090_With_Intervention"
"Cluster_1","Cluster A — South, Kunene South & Erongo","Baboon","Omnivore","Omnivore",477432,455062,719092,433483,685445,440247,698106,405072,636922,0,-22370,241660,-43949,208013,-37185,220674,-72360,159490,0,-4.6854392239496,50.6166545179507,-9.20520982864305,43.569111926683,-7.78853038003435,46.2211331817465,-15.1559992533361,33.405870154752
"Cluster_1","Cluster A — South, Kunene South & Erongo","Black rhinoceros","Browser","Shrub_Browser",20046,19810,18851,19002,18051,19162,18270,17769,16825,0,-236,-1195,-1044,-1994,-884,-1776,-2276,-3221,0,-1.17711568568677,-5.96149301309646,-5.20617794538725,-9.94868603975624,-4.40848403987246,-8.8596190464741,-11.3559541478112,-16.0680151993605
"Cluster_1","Cluster A — South, Kunene South & Erongo","Black-backed Jackal","Carnivore","Carnivore",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster_1","Cluster A — South, Kunene South & Erongo","Black-faced Impala","Mixed","Mixed_Open",341928,316547,668269,299738,635888,306322,649216,279857,590138,0,-25381,326341,-42190,293960,-35606,307288,-62071,248210,0,-7.42298663779405,95.4414195712045,-12.3387939763583,85.9712315415808,-10.413399422363,89.8693307434216,-18.1533403170565,72.5912527952885
"Cluster_1","Cluster A — South, Kunene South & Erongo","Blue wildebeest","Grazer","General_Grazer",60236,52828,165518,49432,157219,51166,160919,46049,145712,0,-7407,105282,-10804,96984,-9070,100683,-14187,85476,0,-12.2969253049583,174.784133038604,-17.935847399178,161.007028915452,-15.0572476124767,167.148924326863,-23.5518536734513,141.90301813834
"Cluster_1","Cluster A — South, Kunene South & Erongo","Buffalo","Grazer","General_Grazer",26504,23245,72828,21750,69176,22513,70804,20262,64113,0,-3259,46324,-4754,42673,-3991,44301,-6242,37610,0,-12.2969253049583,174.784133038604,-17.9358473991781,161.007028915452,-15.0572476124767,167.148924326863,-23.5518536734513,141.90301813834
"Cluster_1","Cluster A — South, Kunene South & Erongo","Burchell's zebra","Grazer","General_Grazer",41412,36320,113794,33984,108088,35176,110632,31659,100177,0,-5092,72382,-7428,66676,-6236,69220,-9753,58765,0,-12.2969253049582,174.784133038604,-17.935847399178,161.007028915452,-15.0572476124767,167.148924326863,-23.5518536734513,141.90301813834
"Cluster_1","Cluster A — South, Kunene South & Erongo","Bushpig","Omnivore","Omnivore",190973,182025,287637,173393,274178,176099,279243,162029,254769,0,-8948,96664,-17579,83205,-14874,88270,-28944,63796,0,-4.68543922394959,50.6166545179507,-9.20520982864305,43.569111926683,-7.78853038003435,46.2211331817465,-15.1559992533361,33.405870154752
"Cluster_1","Cluster A — South, Kunene South & Erongo","Cheetah","Carnivore","Carnivore",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster_1","Cluster A — South, Kunene South & Erongo","Damara dik dik","Browser","Shrub_Browser",4009130,3961938,3770126,3800407,3610274,3832388,3653936,3553855,3364942,0,-47192,-239004,-208722,-398856,-176742,-355194,-455275,-644188,0,-1.17711568568677,-5.96149301309646,-5.20617794538723,-9.94868603975624,-4.40848403987246,-8.85961904647411,-11.3559541478112,-16.0680151993605
"Cluster_1","Cluster A — South, Kunene South & Erongo","Duiker","Browser","Woodland_Browser",889646,879769,821588,844542,787157,850269,795686,790893,734538,0,-9877,-68058,-45104,-102489,-39377,-93961,-98754,-155108,0,-1.11026987694345,-7.65000841040163,-5.06992343348839,-11.5202331462207,-4.42611649272112,-10.5615683679652,-11.1003343125924,-17.4347724356158
"Cluster_1","Cluster A — South, Kunene South & Erongo","Eland","Mixed","Mixed_Open",34193,31655,66827,29974,63589,30632,64922,27986,59014,0,-2538,32634,-4219,29396,-3561,30729,-6207,24821,0,-7.42298663779405,95.4414195712045,-12.3387939763583,85.9712315415808,-10.413399422363,89.8693307434216,-18.1533403170565,72.5912527952885
"Cluster_1","Cluster A — South, Kunene South & Erongo","Elephant","Mixed","Large_Mixed",5113,4872,7742,4639,7378,4715,7517,4333,6854,0,-241,2629,-473,2266,-398,2404,-780,1742,0,-4.7093286240468,51.4241706450506,-9.25707275095971,44.321927072695,-7.7817613477871,47.0279313031275,-15.2511702535621,34.0706652185445
"Cluster_1","Cluster A — South, Kunene South & Erongo","Gemsbok","Mixed","Arid_Mixed",93523,87908,161778,83404,154003,85188,157209,77703,142863,0,-5615,68256,-10119,60480,-8335,63686,-15819,49341,0,-6.003886293421,72.9830917287461,-10.8196093798903,64.6692280951679,-8.91245058950842,68.0971460334975,-16.9149998782845,52.758015093738
"Cluster_1","Cluster A — South, Kunene South & Erongo","Giraffe","Browser","Woodland_Browser",18316,18113,16915,17388,16206,17506,16382,16283,15123,0,-203,-1401,-929,-2110,-811,-1934,-2033,-3193,0,-1.11026987694347,-7.65000841040164,-5.0699234334884,-11.5202331462207,-4.42611649272112,-10.5615683679652,-11.1003343125924,-17.4347724356158
"Cluster_1","Cluster A — South, Kunene South & Erongo","Hartmann's zebra","Grazer","Arid_Grazer",62331,57461,126269,54267,120070,55735,122767,50464,111281,0,-4869,63938,-8063,57739,-6595,60436,-11867,48950,0,-7.81217712450947,102.579183986769,-12.9363041837608,92.6337808757041,-10.581428605007,96.9603251373755,-19.0388154125657,78.5325630197253
"Cluster_1","Cluster A — South, Kunene South & Erongo","Hippopotamus","Grazer","Wetland_Grazer",3030,2502,10847,2311,10295,2420,10547,2155,9540,0,-529,7817,-719,7265,-610,7516,-875,6509,0,-17.4491018981724,257.946082743848,-23.7270366692047,239.72639872131,-20.135253770912,248.032452030043,-28.8798511414477,214.794844380344
"Cluster_1","Cluster A — South, Kunene South & Erongo","Impala","Mixed","Mixed_Open",341928,316547,668269,299738,635888,306322,649216,279857,590138,0,-25381,326341,-42190,293960,-35606,307288,-62071,248210,0,-7.42298663779405,95.4414195712045,-12.3387939763583,85.9712315415808,-10.413399422363,89.8693307434216,-18.1533403170565,72.5912527952885
