spatial_unit;climate_scenario;management_scenario;feeding_group;units;mean_species_capacity_animals;median_species_capacity_animals;mean_change_from_current_pct;median_change_from_current_pct
Conservancy;Current;Current;Browser;90;200093;22911;0;0
Conservancy;Current;Current;Carnivore;90;;;;
Conservancy;Current;Current;Grazer;90;12576;4234;0;0
Conservancy;Current;Current;Mixed;90;24146;7084;0;0
Conservancy;Current;Current;Omnivore;90;155981;41277;0;0
Conservancy;SSP245_2050;With_Intervention;Browser;90;119909;19428;-7.91430514853935;-19.0405948456965
Conservancy;SSP245_2050;With_Intervention;Carnivore;90;;;;
Conservancy;SSP245_2050;With_Intervention;Grazer;90;29375;10442;304.024528861115;141.515031467414
Conservancy;SSP245_2050;With_Intervention;Mixed;90;36527;10725;87.554397966687;36.9297471701836
Conservancy;SSP245_2050;With_Intervention;Omnivore;90;169169;51829;53.4683071808831;-1.91474861445038
Conservancy;SSP245_2050;Without_Intervention;Browser;90;195429;22187;-5.53499409291499;-2.48237844100341
Conservancy;SSP245_2050;Without_Intervention;Carnivore;90;;;;
Conservancy;SSP245_2050;Without_Intervention;Grazer;90;11659;3684;-11.3769975157026;-7.11206177177627
Conservancy;SSP245_2050;Without_Intervention;Mixed;90;22941;6331;-7.65548273327804;-4.5723399868331
Conservancy;SSP245_2050;Without_Intervention;Omnivore;90;149689;37587;-7.05158158111977;-4.18418309256557
Conservancy;SSP245_2090;With_Intervention;Browser;90;115712;18769;-11.4627623399852;-23.0765420793636
Conservancy;SSP245_2090;With_Intervention;Carnivore;90;;;;
Conservancy;SSP245_2090;With_Intervention;Grazer;90;28259;10182;285.650183111213;131.123345474268
Conservancy;SSP245_2090;With_Intervention;Mixed;90;35156;10196;79.5885592626694;31.2007150855318
Conservancy;SSP245_2090;With_Intervention;Omnivore;90;162878;49806;46.9753557120807;-5.53555741295199
Conservancy;SSP245_2090;Without_Intervention;Browser;90;188964;21604;-9.06436976918476;-5.50623383411476
Conservancy;SSP245_2090;Without_Intervention;Carnivore;90;;;;
Conservancy;SSP245_2090;Without_Intervention;Grazer;90;11152;3522;-15.9170434764212;-11.0515720207839
Conservancy;SSP245_2090;Without_Intervention;Mixed;90;22058;5973;-11.7130142984686;-8.04577097117193
Conservancy;SSP245_2090;Without_Intervention;Omnivore;90;144281;37309;-10.9445573708943;-6.91497177092343
Conservancy;SSP585_2050;With_Intervention;Browser;90;116120;19291;-10.1672049976436;-22.090318351361
Conservancy;SSP585_2050;With_Intervention;Carnivore;90;;;;
Conservancy;SSP585_2050;With_Intervention;Grazer;90;28474;10196;292.966413962645;133.434643990526
Conservancy;SSP585_2050;With_Intervention;Mixed;90;35396;10333;82.4631836990821;31.8755893043693
Conservancy;SSP585_2050;With_Intervention;Omnivore;90;164022;50054;49.5796915017736;-4.60423057846063
Conservancy;SSP585_2050;Without_Intervention;Browser;90;189323;21738;-7.879942370907;-4.8333711049081
Conservancy;SSP585_2050;Without_Intervention;Carnivore;90;;;;
Conservancy;SSP585_2050;Without_Intervention;Grazer;90;11301;3603;-13.5871334940927;-9.60491181504244
Conservancy;SSP585_2050;Without_Intervention;Mixed;90;22224;6182;-9.96127372101738;-7.25031685008544
Conservancy;SSP585_2050;Without_Intervention;Omnivore;90;145047;37661;-9.36462243697202;-6.24827314254535
Conservancy;SSP585_2090;With_Intervention;Browser;90;108871;18196;-16.9987074278074;-28.2186459040627
Conservancy;SSP585_2090;With_Intervention;Carnivore;90;;;;
Conservancy;SSP585_2090;With_Intervention;Grazer;90;26552;9623;262.146432625232;119.611085917486
Conservancy;SSP585_2090;With_Intervention;Mixed;90;33045;9636;68.1170786889869;23.0432054944223
Conservancy;SSP585_2090;With_Intervention;Omnivore;90;153261;46915;37.7783103702952;-10.1889938963979
Conservancy;SSP585_2090;Without_Intervention;Browser;90;178110;20299;-14.3416878603263;-11.1039742538546
Conservancy;SSP585_2090;Without_Intervention;Carnivore;90;;;;
Conservancy;SSP585_2090;Without_Intervention;Grazer;90;10487;3319;-20.8056122683838;-16.0939656046873
Conservancy;SSP585_2090;Without_Intervention;Mixed;90;20768;5715;-16.8521034154613;-13.5474804771745
Conservancy;SSP585_2090;Without_Intervention;Omnivore;90;135933;34757;-16.1191615776057;-12.1085927526861
Cluster;Current;Current;Browser;6;3001292;777981;0;0
Cluster;Current;Current;Carnivore;6;;;;
Cluster;Current;Current;Grazer;6;188637;106226;0;0
Cluster;Current;Current;Mixed;6;362185;189182;0;0
Cluster;Current;Current;Omnivore;6;2339635;921176;0;0
Cluster;SSP245_2050;With_Intervention;Browser;6;1798576;631112;-24.1881979918009;-19.6803821731599
Cluster;SSP245_2050;With_Intervention;Carnivore;6;;;;
Cluster;SSP245_2050;With_Intervention;Grazer;6;440616;180034;117.807995207969;75.9641530507622
Cluster;SSP245_2050;With_Intervention;Mixed;6;547890;253101;38.2953965305722;22.0346734382453
Cluster;SSP245_2050;With_Intervention;Omnivore;6;2537459;1005863;13.8246253452456;5.36522347391609
Cluster;SSP245_2050;Without_Intervention;Browser;6;2931324;753298;-3.86344331109322;-1.32728857397607
Cluster;SSP245_2050;Without_Intervention;Carnivore;6;;;;
Cluster;SSP245_2050;Without_Intervention;Grazer;6;174877;98275;-8.52955840891327;-7.97434492010046
Cluster;SSP245_2050;Without_Intervention;Mixed;6;344097;171621;-5.65921749847165;-5.08045226810953
Cluster;SSP245_2050;Without_Intervention;Omnivore;6;2245253;847885;-5.17482229016557;-4.44742742048705
Cluster;SSP245_2090;With_Intervention;Browser;6;1735624;613292;-26.8209769850771;-22.8020758185912
Cluster;SSP245_2090;With_Intervention;Carnivore;6;;;;
Cluster;SSP245_2090;With_Intervention;Grazer;6;423878;174669;109.294343537911;68.6825308649752
Cluster;SSP245_2090;With_Intervention;Mixed;6;527317;242380;33.1095002065203;16.8658071362547
Cluster;SSP245_2090;With_Intervention;Omnivore;6;2443099;960865;9.56138397209706;1.29532816456226
Cluster;SSP245_2090;Without_Intervention;Browser;6;2834361;738880;-7.0631170795828;-5.32562745615849
