"spatial_unit","unit_id","unit","climate_scenario","feeding_group","species_count","species_estimated","mean_intervention_benefit_animals","median_intervention_benefit_animals","mean_intervention_benefit_pct","median_intervention_benefit_pct","species_positive_benefit","species_negative_benefit"
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Browser",7,7,-77028,-64405,-43.0303889075134,-42.1712607714929,0,7
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Grazer",12,12,12565,9132,191.745724884791,173.549263993043,12,0
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Mixed",6,6,8177,6154,36.0589392754106,43.9741719279649,6,0
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Omnivore",3,3,27,13,0.0205043869925593,0.0205043869925615,3,0
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Browser",7,7,-73977,-61855,-43.1288491884928,-42.270509161734,0,7
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Grazer",12,12,12060,8765,195.253481507189,176.255946910646,12,0
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Mixed",6,6,7846,5905,36.3000864782488,44.2762551396714,6,0
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Omnivore",3,3,0,0,0,0,0,0
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","Browser",7,7,-74552,-62335,-43.0308164343762,-42.1716734493304,0,7
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","Grazer",12,12,12161,8839,191.739316807395,173.544676640707,12,0
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","Mixed",6,6,7914,5956,36.0587831269971,43.9739687131835,6,0
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","Omnivore",3,3,26,13,0.0205062683168052,0.0205062683168058,3,0
"Conservancy","Conservancy_1","Okanguati","SSP585_2090","Browser",7,7,-71208,-59540,-43.1290235461002,-42.2706718166968,0,7
"Conservancy","Conservancy_1","Okanguati","SSP585_2090","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_1","Okanguati","SSP585_2090","Grazer",12,12,11609,8437,195.242934092498,176.248111914991,12,0
"Conservancy","Conservancy_1","Okanguati","SSP585_2090","Mixed",6,6,7552,5684,36.2995449293131,44.2755785184052,6,0
"Conservancy","Conservancy_1","Okanguati","SSP585_2090","Omnivore",3,3,0,0,0,0,0,0
"Conservancy","Conservancy_10","Salambala","SSP245_2050","Browser",7,7,-12815,-417,-9.09420274717625,-14.8054025638784,0,7
"Conservancy","Conservancy_10","Salambala","SSP245_2050","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_10","Salambala","SSP245_2050","Grazer",12,12,346,309,3.95337881319953,5.4961074237592,10,2
"Conservancy","Conservancy_10","Salambala","SSP245_2050","Mixed",6,6,-249,-275,-3.04078748078873,-1.25740478209899,0,6
"Conservancy","Conservancy_10","Salambala","SSP245_2050","Omnivore",3,3,-1318,-638,-1.30570816963797,-1.30570816963797,0,3
"Conservancy","Conservancy_10","Salambala","SSP245_2090","Browser",7,7,-14427,-1441,-10.3846919031079,-16.194362209807,0,7
"Conservancy","Conservancy_10","Salambala","SSP245_2090","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_10","Salambala","SSP245_2090","Grazer",12,12,553,450,6.33760849918626,8.33764501175172,10,2
"Conservancy","Conservancy_10","Salambala","SSP245_2090","Mixed",6,6,-129,-78,-2.36074913591074,-0.36459736077952,0,6
"Conservancy","Conservancy_10","Salambala","SSP245_2090","Omnivore",3,3,-1359,-658,-1.3550146841286,-1.35501468412861,0,3
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Browser",7,7,-13712,-256,-9.04841505859754,-15.971065019014,3,4
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Grazer",12,12,87,156,1.38275949261534,2.75686415378668,10,2
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Mixed",6,6,-528,-603,-5.09215121191965,-3.14217774421691,0,6
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Omnivore",3,3,-1624,-786,-1.59716205549851,-1.59716205549851,0,3
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Browser",7,7,-14388,-266,-10.308970115864,-17.2669013729506,3,4
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Grazer",12,12,285,284,3.73020717479009,5.54570018840195,10,2
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Mixed",6,6,-375,-454,-4.37583088581819,-2.22477501172152,0,6
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Omnivore",3,3,-1557,-754,-1.63552537186191,-1.63552537186191,0,3
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Browser",7,7,2443,207,6.15956484370919,7.56422866800255,6,1
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Grazer",12,12,11987,8601,287.890280113456,280.255467238959,12,0
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Mixed",6,6,12503,9453,165.250673265913,184.569216583824,6,0
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Omnivore",3,3,44214,21394,115.264456284386,115.264456284386,3,0
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Browser",7,7,2836,237,7.538063489985,9.16231033293937,6,1
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Grazer",12,12,11496,8248,295.177204787841,287.031349544576,12,0
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Mixed",6,6,12022,9090,169.095114902924,188.952204542395,6,0
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Omnivore",3,3,42692,20658,118.203963876525,118.203963876525,3,0
