"spatial_unit","unit_id","unit","climate_scenario","management_scenario","feeding_group","species_count","species_estimated","mean_species_capacity_animals","median_species_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Conservancy","Conservancy_1","Okanguati","Current","Current","Browser",7,7,181680,145934,0,0
"Conservancy","Conservancy_1","Okanguati","Current","Current","Carnivore",4,0,,,,
"Conservancy","Conservancy_1","Okanguati","Current","Current","Grazer",12,12,8624,5295,0,0
"Conservancy","Conservancy_1","Okanguati","Current","Current","Mixed",6,6,19474,15096,0,0
"Conservancy","Conservancy_1","Okanguati","Current","Current","Omnivore",3,3,132477,64102,0,0
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","With_Intervention","Browser",7,7,104526,81385,-43.0774050623546,-42.2473574460366
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","With_Intervention","Grazer",12,12,20649,14394,169.317433664572,155.038638783968
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","With_Intervention","Mixed",6,6,27099,20828,32.4386002393302,39.8647161377303
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","With_Intervention","Omnivore",3,3,130511,63150,-1.48438283296939,-1.48438283296938
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Without_Intervention","Browser",7,7,181554,145790,-0.082772791315649,-0.0989874428836474
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Without_Intervention","Grazer",12,12,8083,4994,-7.25890686735094,-6.76683422169489
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Without_Intervention","Mixed",6,6,18923,14674,-2.60916736115001,-2.85430069519046
"Conservancy","Conservancy_1","Okanguati","SSP245_2050","Without_Intervention","Omnivore",3,3,130484,63137,-1.50457871531955,-1.50457871531955
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","With_Intervention","Browser",7,7,99980,77857,-45.5507434700543,-44.767037112871
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","With_Intervention","Grazer",12,12,19709,13738,157.041222244278,143.421188114158
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","With_Intervention","Mixed",6,6,25879,19890,26.479559437382,33.5642284661823
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","With_Intervention","Omnivore",3,3,124692,60335,-5.87666248146223,-5.87666248146223
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Without_Intervention","Browser",7,7,173957,139712,-4.25864553376595,-4.26405626524407
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Without_Intervention","Grazer",12,12,7648,4731,-12.4448917898194,-11.8856296719319
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Without_Intervention","Mixed",6,6,18033,13985,-7.14561083343845,-7.42466365176925
"Conservancy","Conservancy_1","Okanguati","SSP245_2090","Without_Intervention","Omnivore",3,3,124692,60335,-5.87666248146223,-5.87666248146223
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","With_Intervention","Browser",7,7,101166,78768,-44.9075759516466,-44.1041927190655
"Conservancy","Conservancy_1","Okanguati","SSP585_2050","With_Intervention","Carnivore",4,0,,,,
