"spatial_unit","unit_id","unit","species","feeding_group","habitat_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Conservancy","Conservancy_1","Okanguati","Baboon","Omnivore","Omnivore","SSP245_2050",63137.3925205019,63150.3384558014,12.9459352994163,0.0205043869925615,63137,63150,13
"Conservancy","Conservancy_1","Okanguati","Black rhinoceros","Browser","Shrub_Browser","SSP245_2050",3002.95341224114,1736.57009791849,-1266.38331432265,-42.1712607714929,3003,1737,-1266
"Conservancy","Conservancy_1","Okanguati","Black-backed Jackal","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Conservancy","Conservancy_1","Okanguati","Black-faced Impala","Mixed","Mixed_Open","SSP245_2050",39779.4591090367,57272.146849659,17492.6877406223,43.9741719279649,39779,57272,17493
"Conservancy","Conservancy_1","Okanguati","Blue wildebeest","Grazer","General_Grazer","SSP245_2050",5011.37110756563,13708.5687807058,8697.19767314018,173.549263993043,5011,13709,8697
"Conservancy","Conservancy_1","Okanguati","Buffalo","Grazer","General_Grazer","SSP245_2050",2205.00328732888,6031.77026351056,3826.76697618168,173.549263993043,2205,6032,3827
"Conservancy","Conservancy_1","Okanguati","Burchell's zebra","Grazer","General_Grazer","SSP245_2050",3445.31763645137,9424.64103673525,5979.32340028388,173.549263993043,3445,9425,5979
"Conservancy","Conservancy_1","Okanguati","Bushpig","Omnivore","Omnivore","SSP245_2050",25254.9570082008,25260.1353823205,5.1783741197687,0.0205043869925702,25255,25260,5
"Conservancy","Conservancy_1","Okanguati","Cheetah","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Conservancy","Conservancy_1","Okanguati","Damara dik dik","Browser","Shrub_Browser","SSP245_2050",600590.682448228,347314.019583697,-253276.662864531,-42.1712607714929,600591,347314,-253277
"Conservancy","Conservancy_1","Okanguati","Duiker","Browser","Woodland_Browser","SSP245_2050",145789.851735887,81384.7482225682,-64405.1035133193,-44.1766712473207,145790,81385,-64405
"Conservancy","Conservancy_1","Okanguati","Eland","Mixed","Mixed_Open","SSP245_2050",3977.94591090367,5727.2146849659,1749.26877406223,43.9741719279649,3978,5727,1749
"Conservancy","Conservancy_1","Okanguati","Elephant","Mixed","Large_Mixed","SSP245_2050",649.817859892588,668.049098065929,18.2312381733408,2.80559204333878,650,668,18
"Conservancy","Conservancy_1","Okanguati","Gemsbok","Mixed","Arid_Mixed","SSP245_2050",9458.95404677022,13020.3784990784,3561.42445230823,37.6513558972652,9459,13020,3561
"Conservancy","Conservancy_1","Okanguati","Giraffe","Browser","Woodland_Browser","SSP245_2050",3001.55577103298,1675.56834575876,-1325.98742527422,-44.1766712473207,3002,1676,-1326
"Conservancy","Conservancy_1","Okanguati","Hartmann's zebra","Grazer","Arid_Grazer","SSP245_2050",4977.11078867664,9819.69864005214,4842.5878513755,97.297168115944,4977,9820,4843
"Conservancy","Conservancy_1","Okanguati","Hippopotamus","Grazer","Wetland_Grazer","SSP245_2050",231.466604973941,919.315540334193,687.848935360251,297.169838144768,231,919,688
"Conservancy","Conservancy_1","Okanguati","Impala","Mixed","Mixed_Open","SSP245_2050",39779.4591090367,57272.146849659,17492.6877406223,43.9741719279649,39779,57272,17493
"Conservancy","Conservancy_1","Okanguati","Klipspringer","Browser","Rocky_Browser","SSP245_2050",204768.655574795,118419.912127836,-86348.743446959,-42.1689262961532,204769,118420,-86349
"Conservancy","Conservancy_1","Okanguati","Kudu","Browser","Woodland_Browser","SSP245_2050",13428.0126598844,7495.96365207865,-5932.04900780573,-44.1766712473207,13428,7496,-5932
"Conservancy","Conservancy_1","Okanguati","Leopard","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Conservancy","Conservancy_1","Okanguati","Ostrich","Mixed","Mixed_Open","SSP245_2050",19889.7295545184,28636.0734248295,8746.34387031115,43.9741719279649,19890,28636,8746
"Conservancy","Conservancy_1","Okanguati","Red Hartebeest","Grazer","General_Grazer","SSP245_2050",7350.01095776293,20105.9008783685,12755.8899206056,173.549263993043,7350,20106,12756
"Conservancy","Conservancy_1","Okanguati","Red Lechwe","Grazer","Wetland_Grazer","SSP245_2050",4050.66558704397,16088.0219558484,12037.3563688044,297.169838144768,4051,16088,12037
"Conservancy","Conservancy_1","Okanguati","Reedbuck","Grazer","Wetland_Grazer","SSP245_2050",7201.18326585596,28600.9279215082,21399.7446556523,297.169838144768,7201,28601,21400
"Conservancy","Conservancy_1","Okanguati","Roan","Grazer","General_Grazer","SSP245_2050",4593.75684860183,12566.1880489803,7972.4312003785,173.549263993043,4594,12566,7972
"Conservancy","Conservancy_1","Okanguati","Sable","Grazer","General_Grazer","SSP245_2050",5512.50821832219,15079.4256587764,9566.9174404542,173.549263993043,5513,15079,9567
"Conservancy","Conservancy_1","Okanguati","Spotted Hyaena","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Conservancy","Conservancy_1","Okanguati","Springbok","Grazer","Arid_Grazer","SSP245_2050",36673.4479165647,72355.6741898578,35682.2262732931,97.2971681159439,36673,72356,35682
"Conservancy","Conservancy_1","Okanguati","Steenbok","Browser","Shrub_Browser","SSP245_2050",300295.341224114,173657.009791849,-126638.331432265,-42.1712607714929,300295,173657,-126638
"Conservancy","Conservancy_1","Okanguati","Vervet monkey","Omnivore","Omnivore","SSP245_2050",303059.484098409,303121.624587847,62.1404894371517,0.0205043869925461,303059,303122,62
"Conservancy","Conservancy_1","Okanguati","Warthog","Grazer","General_Grazer","SSP245_2050",15750.0234809206,43084.0733107897,27334.0498298692,173.549263993043,15750,43084,27334
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Baboon","Omnivore","Omnivore","SSP245_2050",81774.8293541836,82448.5588901297,673.729535946055,0.823883756489413,81775,82449,674
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Black rhinoceros","Browser","Shrub_Browser","SSP245_2050",2009.36690135832,1669.15192032297,-340.214981035344,-16.9314514340493,2009,1669,-340
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Black-backed Jackal","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Black-faced Impala","Mixed","Mixed_Open","SSP245_2050",77475.2387599259,83018.6054227343,5543.36666280837,7.15501720489783,77475,83019,5543
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Blue wildebeest","Grazer","General_Grazer","SSP245_2050",19402.6593053647,22002.8487555481,2600.18945018345,13.4012013985347,19403,22003,2600
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Buffalo","Grazer","General_Grazer","SSP245_2050",8537.17009436045,9681.25345244117,1144.08335808072,13.4012013985347,8537,9681,1144
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Burchell's zebra","Grazer","General_Grazer","SSP245_2050",13339.3282724382,15126.9585194393,1787.63024700113,13.4012013985347,13339,15127,1788
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Bushpig","Omnivore","Omnivore","SSP245_2050",32709.9317416735,32979.4235560519,269.491814378423,0.823883756489417,32710,32979,269
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Cheetah","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Damara dik dik","Browser","Shrub_Browser","SSP245_2050",401873.380271663,333830.384064594,-68042.9962070689,-16.9314514340493,401873,333830,-68043
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Duiker","Browser","Woodland_Browser","SSP245_2050",93058.3094065266,75795.1003381234,-17263.2090684031,-18.5509592625292,93058,75795,-17263
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Eland","Mixed","Mixed_Open","SSP245_2050",7747.52387599259,8301.86054227343,554.336666280838,7.15501720489785,7748,8302,554
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Elephant","Mixed","Large_Mixed","SSP245_2050",868.815797661098,880.891675280484,12.0758776193861,1.38992380800339,869,881,12
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Gemsbok","Mixed","Arid_Mixed","SSP245_2050",17562.0495030361,18693.9576409825,1131.90813794643,6.44519386960362,17562,18694,1132
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Giraffe","Browser","Woodland_Browser","SSP245_2050",1915.90637013437,1560.48735990254,-355.419010231829,-18.5509592625292,1916,1560,-355
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Hartmann's zebra","Grazer","Arid_Grazer","SSP245_2050",13659.6226104707,15121.2981729824,1461.67556251165,10.7007023853734,13660,15121,1462
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Hippopotamus","Grazer","Wetland_Grazer","SSP245_2050",1320.05573916853,1524.3605334175,204.304794248974,15.4769823869453,1320,1524,204
"Conservancy","Conservancy_2","Iipumbu ya Tshilongo","Impala","Mixed","Mixed_Open","SSP245_2050",77475.2387599259,83018.6054227343,5543.36666280837,7.15501720489783,77475,83019,5543
