"species","feeding_group","habitat_profile","body_mass_kg","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","estimate_status","total_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Baboon","Omnivore","Omnivore",24,219,14038306.3310381,64101.8553928679,"Forage-limited potential carrying capacity","Estimated",115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",64101.8553928679,0,0,64102,0
"Black rhinoceros","Browser","Shrub_Browser",1000,9125,27415367.5241468,3004.42383826267,"Forage-limited potential carrying capacity","Estimated",115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",3004.42383826267,0,0,3004,0
"Black-backed Jackal","Carnivore","Carnivore",8.5,,,,"Prey biomass required - not estimated from forage","Not estimated: requires local preferred-prey biomass/density data",115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",,,,,
"Black-faced Impala","Mixed","Mixed_Open",50,456.25,18682636.8520459,40948.245155169,"Forage-limited potential carrying capacity","Estimated",115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",40948.245155169,0,0,40948,0
"Blue wildebeest","Grazer","General_Grazer",220,2007.5,10790502.9443707,5375.0948664362,"Forage-limited potential carrying capacity","Estimated",115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",5375.0948664362,0,0,5375,0
"Buffalo","Grazer","General_Grazer",500,4562.5,10790502.9443707,2365.04174123193,"Forage-limited potential carrying capacity","Estimated",115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",2365.04174123193,0,0,2365,0
"Burchell's zebra","Grazer","General_Grazer",320,2920,10790502.9443707,3695.37772067489,"Forage-limited potential carrying capacity","Estimated",115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",3695.37772067489,0,0,3695,0
"Bushpig","Omnivore","Omnivore",60,547.5,14038306.3310381,25640.7421571472,"Forage-limited potential carrying capacity","Estimated",115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",25640.7421571472,0,0,25641,0
"Cheetah","Carnivore","Carnivore",45,,,,"Prey biomass required - not estimated from forage","Not estimated: requires local preferred-prey biomass/density data",115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",,,,,
"Damara dik dik","Browser","Shrub_Browser",5,45.625,27415367.5241468,600884.767652534,"Forage-limited potential carrying capacity","Estimated",115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",600884.767652534,0,0,600885,0
"Duiker","Browser","Woodland_Browser",17.5,159.6875,23303884.8687987,145934.308376039,"Forage-limited potential carrying capacity","Estimated",115912.196570543,0,0,"Conservancy","Conservancy_1","Okanguati","Current","Current","Current",145934.308376039,0,0,145934,0
