"unit_id","unit","species","feeding_group","habitat_profile","carrying_capacity_animals_Current","carrying_capacity_animals_SSP245_2050_Without_Intervention","carrying_capacity_animals_SSP245_2050_With_Intervention","carrying_capacity_animals_SSP245_2090_Without_Intervention","carrying_capacity_animals_SSP245_2090_With_Intervention","carrying_capacity_animals_SSP585_2050_Without_Intervention","carrying_capacity_animals_SSP585_2050_With_Intervention","carrying_capacity_animals_SSP585_2090_Without_Intervention","carrying_capacity_animals_SSP585_2090_With_Intervention","capacity_change_from_current_animals_Current","capacity_change_from_current_animals_SSP245_2050_Without_Intervention","capacity_change_from_current_animals_SSP245_2050_With_Intervention","capacity_change_from_current_animals_SSP245_2090_Without_Intervention","capacity_change_from_current_animals_SSP245_2090_With_Intervention","capacity_change_from_current_animals_SSP585_2050_Without_Intervention","capacity_change_from_current_animals_SSP585_2050_With_Intervention","capacity_change_from_current_animals_SSP585_2090_Without_Intervention","capacity_change_from_current_animals_SSP585_2090_With_Intervention","capacity_change_from_current_pct_Current","capacity_change_from_current_pct_SSP245_2050_Without_Intervention","capacity_change_from_current_pct_SSP245_2050_With_Intervention","capacity_change_from_current_pct_SSP245_2090_Without_Intervention","capacity_change_from_current_pct_SSP245_2090_With_Intervention","capacity_change_from_current_pct_SSP585_2050_Without_Intervention","capacity_change_from_current_pct_SSP585_2050_With_Intervention","capacity_change_from_current_pct_SSP585_2090_Without_Intervention","capacity_change_from_current_pct_SSP585_2090_With_Intervention"
"Conservancy_1","Okanguati","Baboon","Omnivore","Omnivore",64102,63137,63150,60335,60335,61108,61121,58077,58077,0,-964,-952,-3767,-3767,-2994,-2981,-6025,-6025,0,-1.50457871531955,-1.48438283296938,-5.87666248146223,-5.87666248146223,-4.66999016251357,-4.65044153490986,-9.39944303844226,-9.39944303844226
"Conservancy_1","Okanguati","Black rhinoceros","Browser","Shrub_Browser",3004,3003,1737,2877,1661,2906,1681,2770,1599,0,-1,-1268,-127,-1343,-98,-1324,-235,-1406,0,-0.0489420301757175,-42.1995633304963,-4.23127400585893,-44.7132021012883,-3.26182099343262,-44.0579299449109,-7.81649828208288,-46.7830837624027
"Conservancy_1","Okanguati","Black-backed Jackal","Carnivore","Carnivore",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Conservancy_1","Okanguati","Black-faced Impala","Mixed","Mixed_Open",40948,39779,57272,37908,54692,38501,55432,36490,52645,0,-1169,16324,-3040,13744,-2447,14484,-4459,11697,0,-2.85430069519047,39.8647161377303,-7.42466365176925,33.5642284661823,-5.9756402049412,35.370602354109,-10.888634645212,28.5659378912701
"Conservancy_1","Okanguati","Blue wildebeest","Grazer","General_Grazer",5375,5011,13709,4736,13084,4850,13268,4559,12595,0,-364,8333,-639,7709,-525,7893,-816,7219,0,-6.76683422169489,155.038638783968,-11.8856296719319,143.421188114158,-9.76049665299854,146.845357632735,-15.1802065831668,134.313077844198
"Conservancy_1","Okanguati","Buffalo","Grazer","General_Grazer",2365,2205,6032,2084,5757,2134,5838,2006,5542,0,-160,3667,-281,3392,-231,3473,-359,3177,0,-6.76683422169488,155.038638783968,-11.8856296719319,143.421188114158,-9.76049665299853,146.845357632735,-15.1802065831668,134.313077844198
"Conservancy_1","Okanguati","Burchell's zebra","Grazer","General_Grazer",3695,3445,9425,3256,8995,3335,9122,3134,8659,0,-250,5729,-439,5300,-361,5426,-561,4963,0,-6.76683422169489,155.038638783968,-11.8856296719319,143.421188114158,-9.76049665299854,146.845357632735,-15.1802065831668,134.313077844198
"Conservancy_1","Okanguati","Bushpig","Omnivore","Omnivore",25641,25255,25260,24134,24134,24443,24448,23231,23231,0,-386,-381,-1507,-1507,-1197,-1192,-2410,-2410,0,-1.50457871531956,-1.48438283296938,-5.87666248146223,-5.87666248146223,-4.66999016251357,-4.65044153490986,-9.39944303844226,-9.39944303844226
"Conservancy_1","Okanguati","Cheetah","Carnivore","Carnivore",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Conservancy_1","Okanguati","Damara dik dik","Browser","Shrub_Browser",600885,600591,347314,575460,332210,581285,336147,553917,319772,0,-294,-253571,-25425,-268675,-19600,-264737,-46968,-281112,0,-0.0489420301757036,-42.1995633304963,-4.23127400585893,-44.7132021012883,-3.26182099343261,-44.0579299449109,-7.81649828208288,-46.7830837624027
"Conservancy_1","Okanguati","Duiker","Browser","Woodland_Browser",145934,145790,81385,139712,77857,141103,78768,134481,74942,0,-144,-64550,-6223,-68078,-4831,-67166,-11453,-70993,0,-0.0989874428836544,-44.2319293329855,-4.26405626524407,-46.6495202912148,-3.31028877291696,-46.0250163692427,-7.84809409073634,-48.6469612592566
"Conservancy_1","Okanguati","Eland","Mixed","Mixed_Open",4095,3978,5727,3791,5469,3850,5543,3649,5265,0,-117,1632,-304,1374,-245,1448,-446,1170,0,-2.85430069519046,39.8647161377303,-7.42466365176925,33.5642284661823,-5.9756402049412,35.370602354109,-10.888634645212,28.5659378912701
"Conservancy_1","Okanguati","Elephant","Mixed","Large_Mixed",660,650,668,621,638,629,647,598,614,0,-10,8,-39,-22,-31,-14,-63,-46,0,-1.57603092017385,1.18534412506797,-5.96289779449332,-3.33121476842113,-4.73910214475659,-2.06646219778768,-9.48239480590315,-6.94922243943855
"Conservancy_1","Okanguati","Gemsbok","Mixed","Arid_Mixed",9718,9459,13020,9017,12434,9155,12602,8679,11969,0,-259,3303,-701,2716,-563,2884,-1038,2251,0,-2.66177046596434,33.9873927599924,-7.21211259906038,27.9516575279835,-5.78940040007896,29.68204320696,-10.6841627370691,23.1633370963314
"Conservancy_1","Okanguati","Giraffe","Browser","Woodland_Browser",3005,3002,1676,2876,1603,2905,1622,2769,1543,0,-3,-1329,-128,-1402,-99,-1383,-236,-1462,0,-0.0989874428836474,-44.2319293329855,-4.26405626524408,-46.6495202912148,-3.31028877291697,-46.0250163692427,-7.84809409073633,-48.6469612592566
"Conservancy_1","Okanguati","Hartmann's zebra","Grazer","Arid_Grazer",5215,4977,9820,4726,9374,4817,9504,4549,9023,0,-238,4604,-489,4159,-398,4289,-666,3808,0,-4.56950267665319,88.281668737925,-9.38166034530872,79.7348175306259,-7.63491112751485,82.2324884742044,-12.7713623004779,73.009256761728
"Conservancy_1","Okanguati","Hippopotamus","Grazer","Wetland_Grazer",258,231,919,217,877,224,890,209,844,0,-26,662,-41,620,-34,632,-49,587,0,-10.2000125010135,256.658465003746,-15.7919910278975,240.358905023661,-13.0816256856824,245.201353970588,-18.9382178740755,227.624291780214
